ID,CPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
1122,AMD Sempron 2800+,CPU,2001-01-01,130.0,62.0,101.0,63.0,2000.0,Unknown,AMD,29.95,243,8.11,408,13.63,62.0,3.92,1,2008,AM2,Desktop
1109,AMD Sempron 3100+,CPU,2001-01-01,130.0,25.0,144.0,69.0,1800.0,Unknown,AMD,65.0,298,4.58,383,5.89,62.0,4.8,1,2009,754,Desktop
1065,AMD Sempron 2400+,CPU,2001-01-01,130.0,62.0,101.0,63.0,1667.0,Unknown,AMD,12.99,205,15.74,321,24.72,,,1,2008,Socket A,Desktop
1111,AMD Athlon XP 1900+,CPU,2001-01-01,130.0,53.0,80.0,37.0,1600.0,Unknown,AMD,45.8,203,4.44,312,6.81,,,1,2009,unknown,Unknown
1152,AMD Athlon 64 3200+,CPU,2001-01-01,90.0,59.0,84.0,69.0,2200.0,Unknown,AMD,149.95,340,2.27,568,3.79,62.0,5.48,1,2008,AM2,Unknown
1113,AMD Athlon XP 3000+,CPU,2001-01-01,130.0,68.0,101.0,63.0,2167.0,Unknown,AMD,79.7,262,3.29,396,4.97,62.0,4.22,1,2009,Socket A,Desktop
858,AMD Sempron 2600+,CPU,2001-01-01,130.0,62.0,101.0,63.0,1833.0,Unknown,AMD,34.95,253,7.23,325,9.31,,,1,2008,Socket A,Desktop
1034,AMD Athlon 64 3000+,CPU,2001-01-01,90.0,51.0,84.0,69.0,2000.0,Unknown,AMD,20.0,303,15.13,506,25.31,89.0,3.4,1,2008,Socket 754,Desktop
1033,AMD Athlon 64 4000+,CPU,2001-01-01,90.0,89.0,199.0,233.0,2400.0,Unknown,AMD,99.95,340,3.4,565,5.65,62.0,5.49,1,2008,AM2,Unknown
1031,AMD Sempron 2300+,CPU,2001-01-01,130.0,62.0,101.0,63.0,1583.0,Unknown,AMD,45.0,207,4.6,314,6.98,,,1,2009,Socket A,Desktop
898,AMD Athlon XP 2600+,CPU,2001-01-01,130.0,68.0,101.0,63.0,1917.0,Unknown,AMD,23.03,242,10.52,380,16.49,,,1,2008,unknown,Unknown
900,AMD Athlon XP 1700+,CPU,2001-01-01,130.0,50.0,80.0,37.0,1467.0,Unknown,AMD,51.25,176,3.44,272,5.3,64.0,2.75,1,2009,Socket A (462),Desktop
1021,AMD Athlon 64 3400+,CPU,2001-01-01,90.0,67.0,84.0,69.0,2400.0,Unknown,AMD,99.95,375,3.75,429,4.29,89.0,4.21,1,2009,754,Unknown
842,AMD Sempron 3000+,CPU,2001-01-01,130.0,25.0,144.0,69.0,1800.0,Unknown,AMD,34.95,268,7.66,333,9.53,62.0,4.32,1,2008,AM2,Desktop
1137,AMD Sempron 3300+,CPU,2001-01-01,130.0,62.0,101.0,63.0,2200.0,Unknown,AMD,20.0,315,15.74,394,19.68,62.0,5.08,1,2008,754,Desktop
1014,AMD Athlon 64 3700+,CPU,2001-01-01,90.0,89.0,199.0,233.0,2200.0,Unknown,AMD,89.95,394,4.38,435,4.83,89.0,4.42,1,2008,939,Desktop
1005,AMD Athlon XP 1700+,CPU,2001-01-01,130.0,50.0,80.0,37.0,1467.0,Unknown,AMD,51.25,176,3.44,272,5.3,64.0,2.75,1,2009,Socket A (462),Desktop
1002,AMD Sempron 2200+,CPU,2001-01-01,130.0,62.0,101.0,63.0,1500.0,Unknown,AMD,39.95,184,4.6,279,6.99,,,1,2009,Socket A,Desktop
840,AMD Athlon XP 3000+,CPU,2001-01-01,130.0,68.0,101.0,63.0,2100.0,Unknown,AMD,79.7,262,3.29,396,4.97,62.0,4.22,1,2009,Socket A,Desktop
1188,AMD Athlon XP 2100+,CPU,2001-01-01,130.0,62.0,80.0,37.0,1733.0,Unknown,AMD,63.75,210,3.3,327,5.12,,,1,2009,unknown,Unknown
990,AMD Sempron 2600+,CPU,2001-01-01,130.0,25.0,144.0,69.0,1600.0,Unknown,AMD,34.95,253,7.23,325,9.31,,,1,2008,Socket A,Desktop
947,AMD Athlon XP 1800+,CPU,2001-01-01,130.0,51.0,80.0,37.0,1533.0,Unknown,AMD,50.95,195,3.83,301,5.9,66.0,2.96,1,2009,Socket A,Desktop
950,AMD Athlon XP 2800+,CPU,2001-01-01,130.0,68.0,101.0,63.0,2083.0,Unknown,AMD,,260,,408,,89.0,2.93,1,2009,754,Unknown
951,AMD Athlon 64 3400+,CPU,2001-01-01,130.0,89.0,193.0,105.0,2400.0,Unknown,AMD,99.95,375,3.75,429,4.29,89.0,4.21,1,2009,754,Unknown
959,AMD Athlon 64 3000+,CPU,2001-01-01,90.0,51.0,84.0,69.0,2000.0,Unknown,AMD,20.0,303,15.13,506,25.31,89.0,3.4,1,2008,Socket 754,Desktop
966,AMD Sempron 2800+,CPU,2001-01-01,130.0,25.0,144.0,69.0,1600.0,Unknown,AMD,29.95,243,8.11,408,13.63,62.0,3.92,1,2008,AM2,Desktop
1078,AMD Sempron 2500+,CPU,2001-01-01,130.0,62.0,101.0,63.0,1750.0,Unknown,AMD,59.95,207,3.45,405,6.75,,,1,2009,Socket A,Desktop
980,AMD Athlon XP 1600+,CPU,2001-01-01,130.0,49.0,80.0,37.0,1400.0,Unknown,AMD,,174,,265,,,,1,2009,unknown,Unknown
828,AMD Athlon 64 3200+,CPU,2001-01-01,130.0,89.0,193.0,105.0,2200.0,Unknown,AMD,149.95,340,2.27,568,3.79,62.0,5.48,1,2008,AM2,Unknown
1168,AMD Athlon XP 3200+,CPU,2001-01-01,130.0,77.0,101.0,63.0,2200.0,Unknown,AMD,,281,,430,,62.0,4.53,1,2008,AM2,Unknown
739,AMD Athlon 64 3500+,CPU,2001-01-01,90.0,67.0,115.0,105.0,2200.0,Unknown,AMD,79.95,396,4.95,568,7.1,45.0,8.8,1,2008,AM2,Unknown
904,AMD Athlon 64 3400+,CPU,2001-01-01,90.0,67.0,83.0,69.0,2200.0,Unknown,AMD,99.95,375,3.75,429,4.29,89.0,4.21,1,2009,754,Unknown
1059,AMD Athlon XP 2200+,CPU,2001-01-01,130.0,63.0,80.0,37.0,1800.0,Unknown,AMD,84.95,214,2.52,335,3.94,,,1,2009,unknown,Unknown
1171,AMD Athlon XP 1700+,CPU,2001-10-09,180.0,64.0,150.0,37.0,1467.0,Unknown,AMD,51.25,176,3.44,272,5.3,64.0,2.75,1,2009,Socket A (462),Desktop
