Unnamed: 0,CPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
0,AMD Athlon 64 3500+,CPU,2007-02-20,65.0,45.0,77.0,122.0,2200.0,Unknown,AMD,,,
1,AMD Athlon 200GE,CPU,2018-09-06,14.0,35.0,192.0,4800.0,3200.0,Unknown,AMD,,,
4,AMD Phenom II X4 980 BE,CPU,2011-05-03,45.0,125.0,258.0,758.0,3700.0,Unknown,AMD,,,
6,AMD Phenom X4 9750 (125W),CPU,2008-03-27,65.0,125.0,285.0,450.0,2400.0,Unknown,AMD,,,
9,AMD Athlon 64 X2 4200+,CPU,2006-05-23,90.0,89.0,156.0,154.0,2200.0,Unknown,AMD,,,
10,AMD Sempron 2800+,CPU,2004-08-01,130.0,62.0,80.0,37.0,1992.0,Unknown,AMD,,,
12,AMD C-70,CPU,2012-09-01,40.0,9.0,75.0,,1000.0,Unknown,AMD,,,
14,AMD Phenom X4 9600 BE,CPU,2007-12-19,65.0,95.0,285.0,450.0,2300.0,Unknown,AMD,,,
16,AMD Turion X2 Ultra ZM-84,CPU,2008-09-01,65.0,35.0,,,2300.0,Unknown,AMD,,,
19,AMD Athlon 64 X2 4800+,CPU,2006-05-23,90.0,110.0,199.0,233.0,2400.0,Unknown,AMD,,,
21,AMD Opteron 148 HE,CPU,2004-12-01,90.0,55.0,,106.0,2200.0,Unknown,AMD,,,
22,AMD Athlon 1100,CPU,2000-08-14,180.0,60.0,120.0,37.0,1100.0,Unknown,AMD,,,
24,AMD Athlon 64 3500+,CPU,2001-01-01,90.0,67.0,115.0,105.0,2200.0,Unknown,AMD,,,
27,AMD EPYC 7371,CPU,2018-11-16,14.0,170.0,213.0,4800.0,3100.0,GF,AMD,,,
30,AMD Sempron 140,CPU,2009-07-22,45.0,45.0,117.0,234.0,2700.0,Unknown,AMD,,,
31,AMD EPYC 7501,CPU,2017-06-29,14.0,170.0,213.0,4800.0,2000.0,GF,AMD,,,
38,AMD Phenom X4 9600,CPU,2007-11-19,65.0,95.0,285.0,450.0,2300.0,Unknown,AMD,,,
40,AMD Opteron X2 180,CPU,2005-09-26,90.0,110.0,,233.0,2400.0,Unknown,AMD,,,
41,AMD E2-3200,CPU,2011-09-07,32.0,65.0,228.0,1178.0,2400.0,Unknown,AMD,,,
42,AMD Turion 64 MT-34,CPU,2005-03-10,90.0,25.0,125.0,114.0,1800.0,Unknown,AMD,,,
46,AMD Opteron X2 185,CPU,2006-03-06,90.0,110.0,,233.0,2600.0,Unknown,AMD,,,
48,AMD Ryzen 5 1400,CPU,2017-04-11,14.0,65.0,192.0,4800.0,3200.0,GF,AMD,,,
49,AMD A4-3300M,CPU,2011-06-14,32.0,35.0,228.0,1178.0,1900.0,Unknown,AMD,,,
51,AMD Opteron 848,CPU,2004-12-01,90.0,85.0,,106.0,2200.0,Unknown,AMD,,,
54,AMD A6-3600,CPU,2011-06-30,32.0,65.0,228.0,1178.0,2100.0,Unknown,AMD,,,
58,AMD Athlon 64 X2 5600+,CPU,2006-12-12,90.0,89.0,220.0,227.0,2800.0,Unknown,AMD,,,
59,AMD Athlon II X4 640,CPU,2010-05-11,45.0,95.0,169.0,300.0,3000.0,Unknown,AMD,,,
61,AMD EPYC 7302,CPU,2019-08-07,7.0,155.0,74.0,3800.0,3000.0,TSMC,AMD,,,
64,AMD Ryzen 9 5900HX,CPU,2021-01-12,7.0,45.0,156.0,9800.0,3300.0,TSMC,AMD,,,
65,AMD EPYC 7502,CPU,2019-08-07,7.0,180.0,74.0,3800.0,2500.0,TSMC,AMD,,,
66,AMD Athlon 64 4000+,CPU,2007-02-20,90.0,62.0,230.0,227.0,2600.0,Unknown,AMD,,,
69,AMD Mobile Athlon 64 3400+,CPU,2005-08-01,130.0,82.0,193.0,106.0,2200.0,Unknown,AMD,,,
77,AMD Athlon 64 3500+,CPU,2005-05-31,90.0,67.0,156.0,154.0,2200.0,Unknown,AMD,,,
78,AMD Ryzen 9 5950X,CPU,2020-11-05,7.0,105.0,,,3400.0,TSMC,AMD,,,
81,AMD EPYC 7763,CPU,2021-03-15,7.0,280.0,,,2450.0,TSMC,AMD,,,
83,AMD Ryzen Threadripper PRO 3955WX,CPU,2020-07-14,7.0,280.0,74.0,3800.0,3900.0,TSMC,AMD,,,
85,AMD Athlon 64 X2 4000+,CPU,2006-05-23,90.0,89.0,220.0,154.0,2000.0,Unknown,AMD,,,
88,AMD Ryzen 7 3750H,CPU,2019-01-06,12.0,35.0,210.0,4940.0,2300.0,GF,AMD,,,
90,AMD Ryzen 5 5500U,CPU,2021-01-12,7.0,25.0,156.0,9800.0,2100.0,TSMC,AMD,,,
96,AMD A4-5300B,CPU,2012-10-02,32.0,65.0,246.0,1178.0,3400.0,Unknown,AMD,,,
99,AMD A8-5600K,CPU,2012-10-02,32.0,100.0,246.0,1178.0,3600.0,Unknown,AMD,,,
100,AMD Athlon XP 2600+,CPU,2002-10-01,130.0,68.0,80.0,37.0,2133.0,Unknown,AMD,,,
101,AMD Athlon 64 3000+,CPU,2003-12-15,130.0,89.0,193.0,69.0,2000.0,Unknown,AMD,,,
105,AMD E1-2150,CPU,2014-02-01,32.0,9.0,246.0,1178.0,1050.0,Unknown,AMD,,,
107,AMD Athlon Gold 3150G,CPU,2020-07-21,12.0,65.0,,,3500.0,GF,AMD,,,
110,AMD Athlon 64 3500+,CPU,2007-02-20,90.0,62.0,230.0,227.0,2200.0,Unknown,AMD,,,
111,AMD Sempron 3400+ EE SFF,CPU,2006-05-23,90.0,35.0,103.0,81.0,1800.0,Unknown,AMD,,,
113,AMD A6-3410MX,CPU,2011-06-14,32.0,45.0,228.0,1178.0,1600.0,Unknown,AMD,,,
115,AMD Opteron A1150,CPU,2016-01-14,28.0,32.0,,,1700.0,Unknown,AMD,,,
120,AMD Athlon XP 1900+,CPU,2001-11-05,180.0,68.0,150.0,37.0,1600.0,Unknown,AMD,,,
122,AMD Athlon 64 3000+,CPU,2005-04-14,130.0,62.0,,105.0,1800.0,Unknown,AMD,,,
124,AMD Phenom X3 8550,CPU,2008-04-23,65.0,95.0,285.0,450.0,2200.0,Unknown,AMD,,,
127,AMD Athlon XP 2200+,CPU,2002-06-10,130.0,68.0,80.0,37.0,1800.0,Unknown,AMD,,,
128,AMD Athlon Silver PRO 3125GE,CPU,2020-07-21,12.0,35.0,,,3400.0,GF,AMD,,,
132,AMD Ryzen 5 4600U,CPU,2020-01-06,7.0,25.0,156.0,9800.0,2100.0,TSMC,AMD,,,
133,AMD Ryzen Threadripper 2970WX,CPU,2018-10-02,12.0,250.0,213.0,19200.0,3000.0,GF,AMD,,,
134,AMD Opteron X2 875 HE,CPU,2006-02-01,90.0,55.0,,233.0,2200.0,Unknown,AMD,,,
140,AMD Sempron 3300+,CPU,2005-07-15,90.0,62.0,,69.0,2000.0,Unknown,AMD,,,
141,AMD Ryzen 5 PRO 2600,CPU,2018-09-19,12.0,65.0,192.0,4800.0,3400.0,GF,AMD,,,
142,AMD Phenom X4 9450e,CPU,2008-10-01,65.0,65.0,285.0,450.0,2100.0,Unknown,AMD,,,
143,AMD A4-3420,CPU,2011-12-20,32.0,65.0,228.0,1178.0,2800.0,Unknown,AMD,,,
145,AMD Opteron 248,CPU,2004-12-01,90.0,85.0,,106.0,2200.0,Unknown,AMD,,,
153,AMD Turion 64 MT-30,CPU,2005-03-10,90.0,22.0,125.0,114.0,1600.0,Unknown,AMD,,,
