CPUname,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
AMD Ryzen Threadripper PRO 5995WX,,108822,,3330,,280.0,388.65,64,2022,sWRX8,Desktop
AMD EPYC 7763,7299.99,88338,12.1,2635,0.36,280.0,315.49,64,2021,SP3,Server
AMD EPYC 7J13,,86006,,2387,,,,64,2021,unknown,Server
AMD EPYC 7713,7060.0,85861,12.16,2727,0.39,225.0,381.6,64,2021,SP3,Server
AMD Ryzen Threadripper PRO 3995WX,6807.98,83971,12.33,2626,0.39,280.0,299.9,64,2020,sWRX8,Desktop
AMD Ryzen Threadripper 3990X,8399.69,81568,9.71,2569,0.31,280.0,291.31,64,2020,sTRX4,Desktop
AMD Ryzen Threadripper PRO 5975WX,,80842,,3340,,280.0,288.72,32,2022,sWRX8,Desktop
AMD EPYC 7B13,,77460,,2564,,,,60,2021,unknown,Server
AMD EPYC 7643,5424.99,76455,14.09,2695,0.5,225.0,339.8,48,2021,SP3,Server
AMD EPYC 7702,4000.0,71646,17.91,2097,0.52,200.0,358.23,64,2020,SP3,Server
AMD EPYC 7662,6817.0,71576,10.5,2054,0.3,225.0,318.12,64,2021,SP3,Server
AMD EPYC 7742,5045.99,68749,13.62,2145,0.43,225.0,305.55,64,2019,SP3,Server
AMD EPYC 75F3,,68505,,2775,,280.0,244.66,32,2021,SP3,Server
AMD Ryzen Threadripper PRO 5965WX,,68405,,3346,,280.0,244.3,24,2022,sWRX8,Desktop
AMD EPYC 7642,3684.0,67748,18.39,2155,0.59,225.0,301.1,48,2021,SP3,Server
AMD EPYC 7543P,2999.0,67144,22.39,2742,0.91,225.0,298.42,32,2021,SP3,Server
AMD EPYC 7R32,,64727,,1922,,,,48,2020,unknown,Server
AMD Ryzen Threadripper 3970X,2997.99,63835,21.29,2694,0.9,280.0,227.98,32,2019,sTRX4,Desktop
AMD Ryzen Threadripper PRO 3975WX,4499.99,63495,14.11,2666,0.59,280.0,226.77,32,2020,sWRX8,Desktop
AMD EPYC 7702P,3499.99,61689,17.63,2110,0.6,200.0,308.44,64,2019,SP3,Server
AMD EPYC 74F3,4989.0,60948,12.22,2975,0.6,240.0,253.95,24,2021,SP3,Server
AMD EPYC 7513,2840.0,59732,21.03,2447,0.86,200.0,298.66,32,2021,SP3,Server
AMD EPYC 7443P,1499.99,57666,38.44,2965,1.98,200.0,288.33,24,2021,SP3,Server
AMD EPYC 7542,1789.99,56728,31.69,2207,1.23,225.0,252.13,32,2019,SP3,Server
AMD EPYC 7543,3761.0,56562,15.04,2563,0.68,240.0,235.68,32,2021,SP3,Server
AMD EPYC 7532,,55358,,2137,,200.0,276.79,32,2021,SP3,Server
AMD Ryzen Threadripper 3960X,1682.9,54757,32.54,2678,1.59,280.0,195.56,24,2019,sTRX4,Desktop
AMD EPYC 7453,1799.0,53511,29.74,2580,1.43,225.0,237.83,28,2021,SP3,Server
AMD Ryzen Threadripper PRO 5955WX,,51656,,3346,,280.0,184.48,16,2022,sWRX8,Desktop
AMD EPYC 7402,1962.0,51368,26.18,2081,1.06,180.0,285.38,24,2020,SP3,Server
