Unnamed: 0,CPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
2,Intel Core i5-1145G7,CPU,2020-09-02,10.0,28.0,,,2600.0,Intel,Intel,,,
3,Intel Xeon E5-2603 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,1800.0,Intel,Intel,,,
5,Intel Xeon E5-2470 v2,CPU,2013-09-01,22.0,95.0,160.0,1400.0,2400.0,Intel,Intel,,,
7,Intel Pentium D 930,CPU,2006-01-16,65.0,130.0,140.0,376.0,3000.0,Intel,Intel,,,
8,Intel Core i3-1125G4,CPU,2020-09-02,10.0,28.0,,,2000.0,Intel,Intel,,,
11,Intel Core i7-3632QM,CPU,2012-10-19,22.0,35.0,160.0,1480.0,2200.0,Intel,Intel,,,
13,Intel Core i5-8269U,CPU,2018-04-05,14.0,28.0,123.0,,2600.0,Intel,Intel,,,
15,Intel Pentium 3560Y,CPU,2013-09-01,22.0,12.0,118.0,1400.0,1200.0,Intel,Intel,,,
17,Intel Pentium 4 506,CPU,2005-06-01,90.0,84.0,109.0,125.0,2660.0,Intel,Intel,,,
18,Intel Xeon E5-2430 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,2500.0,Intel,Intel,,,
20,Intel Core i5-3427U,CPU,2012-06-01,22.0,17.0,118.0,,1800.0,Intel,Intel,,,
23,Intel Core i7-975,CPU,2009-06-02,45.0,130.0,263.0,731.0,3333.0,Intel,Intel,,,
25,Intel Pentium 4 HT 672,CPU,2005-11-14,90.0,84.0,109.0,169.0,3800.0,Intel,Intel,,,
26,Intel Pentium D 830,CPU,2005-05-26,90.0,130.0,206.0,169.0,3000.0,Intel,Intel,,,
28,Intel Pentium 4 HT 550,CPU,2004-06-21,90.0,115.0,109.0,125.0,3400.0,Intel,Intel,,,
29,Intel Pentium III 1266S,CPU,2001-07-01,130.0,30.0,80.0,44.0,1266.0,Intel,Intel,,,
32,Intel Atom E680,CPU,2010-09-14,45.0,4.0,26.0,47.0,1600.0,Intel,Intel,,,
33,Intel Xeon E5-2690 v2,CPU,2013-09-01,22.0,130.0,160.0,1400.0,3000.0,Intel,Intel,,,
34,Intel Xeon Platinum 8380,CPU,2021-04-06,10.0,270.0,,,2300.0,Intel,Intel,,,
35,Intel Xeon Phi 7120A,CPU,2014-04-06,22.0,300.0,350.0,5000.0,1238.0,Intel,Intel,,,
36,Intel Core i3-8020,CPU,2018-09-01,14.0,65.0,,,3700.0,Intel,Intel,,,
37,Intel Atom S1220,CPU,2012-12-11,32.0,8.0,,,1600.0,Intel,Intel,,,
39,Intel Core i3-2330M,CPU,2011-06-01,32.0,35.0,149.0,624.0,2200.0,Intel,Intel,,,
43,Intel Pentium III  866,CPU,2001-06-01,180.0,38.0,80.0,44.0,866.0,Intel,Intel,,,
44,Intel Core 2 Quad Q9550S,CPU,2009-01-27,45.0,65.0,107.0,820.0,2833.0,Intel,Intel,,,
45,Intel Core i7-4500U,CPU,2013-06-04,22.0,15.0,118.0,1300.0,1800.0,Intel,Intel,,,
47,Intel Core i3-8300,CPU,2018-02-14,14.0,62.0,,,3700.0,Intel,Intel,,,
50,Intel Xeon 3.20,CPU,2003-10-06,130.0,97.0,237.0,286.0,3200.0,Intel,Intel,,,
52,Intel Core 2 Extreme QX6700,CPU,2006-11-01,65.0,130.0,143.0,582.0,2666.0,Intel,Intel,,,
53,Intel Pentium Gold G6405T,CPU,2021-03-16,14.0,35.0,,,3500.0,Intel,Intel,,,
55,Intel Xeon Phi 7120X,CPU,2013-06-17,22.0,300.0,350.0,5000.0,1238.0,Intel,Intel,,,
56,Intel Core i9-10900K,CPU,2020-04-30,14.0,125.0,206.0,,3700.0,Intel,Intel,,,
57,Intel Pentium 2129Y,CPU,2012-09-01,22.0,10.0,118.0,1400.0,1100.0,Intel,Intel,,,
60,Intel Atom Z515,CPU,2009-04-08,45.0,1.0,26.0,47.0,1200.0,Intel,Intel,,,
62,Intel Celeron 3205U,CPU,2015-03-01,14.0,15.0,,,1500.0,Intel,Intel,,,
63,Intel Core i3-10305T,CPU,2021-03-16,14.0,35.0,,,3000.0,Intel,Intel,,,
67,Intel Pentium III 1400S,CPU,2002-01-08,130.0,32.0,80.0,44.0,1400.0,Intel,Intel,,,
68,Intel Core i7-9850HE,CPU,NaT,14.0,45.0,149.0,,2700.0,Intel,Intel,,,
70,Intel Xeon E5-2620 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,2100.0,Intel,Intel,,,
71,Intel Core i9-10850K,CPU,2020-07-27,14.0,125.0,206.0,,3600.0,Intel,Intel,,,
72,Intel Core i5-11600,CPU,2021-03-16,14.0,65.0,,,2800.0,Intel,Intel,,,
73,Intel Core i7-3555LE,CPU,2012-06-03,22.0,25.0,118.0,,2500.0,Intel,Intel,,,
