CPUname,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
Intel Xeon Platinum 8380,8978.0,62317,6.94,2385,0.27,270.0,230.81,40,2021,FCLGA4189,Server
Intel Xeon Platinum 8358,5097.75,54416,10.67,2382,0.47,250.0,217.67,32,2021,FCLGA4189,Server
Intel Xeon Gold 6348,3173.0,53112,16.74,2455,0.77,235.0,226.01,28,2021,FCLGA4189,Server
Intel Xeon Platinum 8375C,,51836,,2439,,300.0,172.79,32,2021,FCLGA4189,Server
Intel Xeon Platinum 8347C,,49386,,2445,,210.0,235.17,36,2022,LGA4189,Server
Intel Xeon Gold 6342,3825.9,48330,12.63,2453,0.64,230.0,210.13,24,2021,FCLGA4189,Server
Intel Xeon Gold 6336Y,3850.34,45517,11.82,2522,0.65,185.0,246.04,24,2021,FCLGA4189,Server
Intel Core i9-12900KS,779.98,44243,56.72,4317,5.53,150.0,294.95,8,2022,LGA 1700,Desktop
Intel Xeon Gold 6312U,1736.62,43745,25.19,2383,1.37,185.0,236.46,24,2021,FCLGA4189,Server
Intel Xeon Gold 6330,1904.0,43056,22.61,2034,1.07,205.0,210.03,28,2021,FCLGA4189,Server
Intel Xeon Gold 6354,2932.63,41434,14.13,2406,0.82,205.0,202.12,18,2021,FCLGA4189,Server
Intel Core i9-12900KF,572.98,41163,71.84,4217,7.36,241.0,170.8,8,2021,FCLGA1700,Desktop
Intel Core i9-12900K,599.95,41077,68.47,4209,7.02,241.0,170.44,8,2021,FCLGA1700,Desktop
Intel Xeon Platinum 8275CL,,40794,,2386,,,,24,2019,unknown,Server
Intel Xeon W-3275M,7453.0,40767,5.47,2725,0.37,205.0,198.86,28,2020,FCLGA3647,Server
Intel Xeon W-3265M,6353.0,39620,6.24,2718,0.43,205.0,193.27,24,2021,FCLGA3647,"Desktop, Server"
Intel Xeon W-3335,1299.0,38944,29.98,2556,1.97,250.0,155.78,16,2022,FCLGA4189,Server
Intel Xeon Gold 6248R,3095.0,38604,12.47,2296,0.74,205.0,188.31,24,2020,FCLGA3647,Server
Intel Core i9-12900,509.0,38281,75.21,4162,8.18,65.0,588.95,8,2022,FCLGA1700,Desktop
Intel Xeon Gold 6346,2279.0,37606,16.5,2455,1.08,205.0,183.44,16,2021,FCLGA4189,Server
Intel Xeon Platinum 8280,8870.46,37575,4.24,2011,0.23,205.0,183.29,28,2020,FCLGA3647,Server
Intel Xeon Gold 6238R,2667.0,37511,14.06,2362,0.89,165.0,227.34,28,2021,FCLGA3647,Server
Intel Xeon Silver 4316,1129.22,37264,33.0,2380,2.11,150.0,248.43,20,2021,FCLGA4189,Server
Intel Xeon W-3175X,1595.96,37167,23.29,2148,1.35,255.0,145.75,28,2019,FCLGA3647,Desktop
Intel Core i9-12900F,529.99,35726,67.41,4045,7.63,65.0,549.63,8,2022,FCLGA1700,Desktop
Intel Xeon Gold 6242R,2472.14,35352,14.3,2426,0.98,205.0,172.45,20,2020,FCLGA3647,Server
Intel Xeon Gold 6326,1605.79,35328,22.0,2356,1.47,185.0,190.96,16,2021,FCLGA4189,Server
Intel Core i9-12900T,489.0,34999,71.57,4032,8.25,35.0,999.97,8,2022,FCLGA1700,Desktop
Intel Core i7-12700K,409.0,34125,83.44,4047,9.9,190.0,179.61,8,2021,FCLGA1700,Desktop
Intel Core i7-12700KF,350.99,34110,97.18,4054,11.55,190.0,179.53,8,2021,FCLGA1700,Desktop
Intel Xeon Platinum 8260M,7705.0,33970,4.41,2315,0.3,165.0,205.88,24,2020,LGA3647,Server
Intel Xeon D-2799,1933.0,33792,17.48,2404,1.24,129.0,261.95,20,2022,FCBGA2579,Server
Intel Core i9-10980XE,999.99,33408,33.41,2667,2.67,165.0,202.47,18,2019,FCLGA2066,Desktop
Intel Xeon Gold 5220R,1712.0,33370,19.49,2399,1.4,150.0,222.46,24,2021,FCLGA3647,Server
Intel Xeon Platinum 8168,7829.0,32616,4.17,2138,0.27,205.0,159.1,24,2017,FCLGA3647,Server
Intel Xeon Gold 6252,3850.0,32410,8.42,2143,0.56,150.0,216.06,24,2019,FCLGA3647,Server
Intel Core i7-12700F,312.96,32268,103.11,3987,12.74,65.0,496.43,8,2022,FCLGA1700,Desktop
Intel Xeon Gold 6230R,1870.0,32223,17.23,2020,1.08,150.0,214.82,26,2021,FCLGA3647,Server
Intel Core i9-9980XE,1442.21,31905,22.12,2566,1.78,165.0,193.37,18,2018,FCLGA2066,Desktop
Intel Xeon W-2295,1504.63,31680,21.06,2696,1.79,165.0,192,18,2020,FCLGA2066,Server
Intel Core i7-12700,328.0,31659,96.52,3948,12.04,65.0,487.07,8,2022,FCLGA1700,Desktop
Intel Xeon Platinum 8259CL,,31500,,1863,,210.0,150,24,2020,LGA 3647,Server
Intel Core i9-9960X,1498.95,30655,20.45,2631,1.76,165.0,185.79,16,2019,FCLGA2066,Desktop
Intel Xeon Gold 6253CL,,30616,,2346,,205.0,149.35,18,2021,FCLGA3647,Server
Intel Xeon W-3245,2683.99,30549,11.38,2537,0.95,205.0,149.02,16,2020,FCLGA3647,Server
