ID,Architecture,Best Resolution,Core Speed,Direct X,L2 Cache,Manufacturer,Max Power,Memory,Memory Bandwidth,Memory Bus,Memory Speed,Memory Type,GPUname,Open GL,PSU,Pixel Rate,Power Connector,Process,ROPs,Release Date,Release Price,Resolution WxH,Shader,TMUs,Texture Rate,VGA Connection,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP32 GFLOPS,FP64 GFLOPS,Release Date Rank
1,282,,-,8.1,0,Nvidia,,128,5.2,128,325,,Quadro4 980 XGL,1.5,,1,,150,4,2002-01-01,,,1.3,8.0,2,0.0,150.0,,101.0,36.0,300.0,TSMC,NVIDIA,,,353
2,110,25601600,706,12.0,1536,Nvidia,245,12288,288.4,384,1502,5,Tesla K40c,4.5,,34,,28,48,2013-12-01,,40962160,5.0,240.0,169,0.0,28.0,245.0,561.0,7080.0,745.0,TSMC,NVIDIA,5046.0,1682.0,24
3,110,,732,12.0,1536,Nvidia,235,6144,249.6,384,1300,5,Tesla K20X,4.5,,,,28,,2012-12-01,,40962160,5.0,,,0.0,28.0,235.0,561.0,7080.0,732.0,TSMC,NVIDIA,3935.0,1312.0,56
4,100,,575,12.0,768,Nvidia,238,6144,144,384,750,5,Tesla C2070,4.5,750,,,40,,2010-01-01,,25601600,5.0,,,0.0,40.0,238.0,529.0,3100.0,574.0,TSMC,NVIDIA,1028.0,513.9,197
5,100,,575,12.0,768,Nvidia,247,6144,144,384,750,5,Tesla C2075,4.5,750,,,40,,2011-01-01,,25601600,5.0,,,0.0,40.0,247.0,520.0,3000.0,574.0,TSMC,NVIDIA,1028.0,513.9,151
6,282,,-,8.1,0,Nvidia,,128,5.2,128,325,,Quadro4 900 XGL,1.5,,1,,150,4,2002-01-01,,,1.3,8.0,2,0.0,150.0,,142.0,63.0,300.0,TSMC,NVIDIA,,,353
7,100,,575,12.0,768,Nvidia,238,3072,144,384,750,5,Tesla C2050,4.5,750,,,40,,2010-01-01,,25601600,5.0,,,0.0,40.0,238.0,529.0,3100.0,574.0,TSMC,NVIDIA,1028.0,513.9,197
8,184,,-,8.1,0,Nvidia,,64,3.2,128,200,,Quadro4 580 XGL,1.5,,1,,150,4,2002-01-01,,,1.3,4.0,1,0.0,150.0,,65.0,29.0,300.0,TSMC,NVIDIA,,,353
9,72,,-,9,0,Nvidia,45,1024,,256,,3,Quadro NVS 510M,2.1,,,,,,2010-07-01,,16001200,3.0,,,,90.0,35.0,196.0,278.0,450.0,TSMC,NVIDIA,,,176
10,84,,-,10,0,Nvidia,20,512,22.4,128,700,3,Quadro NVS 320M,3.3,,,,80,,2007-09-01,,16001200,4.0,,,,80.0,20.0,169.0,289.0,575.0,TSMC,NVIDIA,73.6,,263
11,108,,660,12.0,256,Nvidia,35,2048,28.8,128,900,3,NVS 5400M,4.5,,,,40,,2012-01-01,,25601600,5.0,,,,40.0,35.0,116.0,585.0,660.0,TSMC,NVIDIA,253.4,21.12,86
12,94,,-,10,0,Nvidia,75,1024,51.2,256,800,3,GeForce 9800M GTS,2.1,,,,,,2008-01-01,,25601600,4.0,,,,65.0,75.0,240.0,505.0,600.0,TSMC,NVIDIA,192.0,,241
13,94,,-,10,0,Nvidia,75,1024,51.2,256,800,3,GeForce 9800M GTS,2.1,,,,,,2008-01-01,,25601600,4.0,,,,65.0,75.0,240.0,505.0,600.0,TSMC,NVIDIA,192.0,,241
14,92,,-,10,0,Nvidia,75,1024,51.2,256,800,3,GeForce 9800M GTX,2.1,,,,65,,2008-01-01,,25601600,4.0,,,,65.0,75.0,324.0,754.0,500.0,TSMC,NVIDIA,280.0,,241
15,94,,-,10,0,Nvidia,60,512,51.2,256,800,3,GeForce 9800M GS,2.1,,,,,,2008-02-01,,25601600,4.0,,,,65.0,60.0,240.0,505.0,530.0,TSMC,NVIDIA,169.6,,232
16,96,,-,10,0,Nvidia,45,512,25.6,128,800,3,GeForce 9700M GT,2.1,,,,,,2008-01-01,,25601600,4.0,,,,65.0,45.0,144.0,314.0,625.0,UMC,NVIDIA,99.2,,241
17,92,,-,10,0,Nvidia,65,512,51.2,256,800,3,GeForce 9800M GT,2.1,,,,65,,2008-01-01,,25601600,4.0,,,,65.0,65.0,324.0,754.0,500.0,TSMC,NVIDIA,240.0,,241
18,84,,-,10,0,Nvidia,29,512,25.6,128,800,3,GeForce 9650M GS,2.1,,,,80,,2008-02-01,,25601600,4.0,,,,80.0,29.0,169.0,289.0,625.0,TSMC,NVIDIA,80.0,,232
19,94,,-,10,0,Nvidia,60,512,51.2,256,800,3,GeForce 9700M GTS,2.1,,,,,,2008-01-01,,25601600,4.0,,,,65.0,60.0,240.0,505.0,530.0,TSMC,NVIDIA,127.2,,241
20,96,,-,10,0,Nvidia,23,1024,25.6,128,800,3,GeForce 9600M GT,2.1,,,,,,2008-02-01,,25601600,4.0,,,,55.0,23.0,121.0,314.0,500.0,TSMC,NVIDIA,80.0,,232
21,84,,-,10,0,Nvidia,20,512,22.4,128,700,3,GeForce 9500M GS,2.1,,,,80,,2008-01-01,,25601600,4.0,,,,80.0,20.0,169.0,289.0,475.0,TSMC,NVIDIA,60.8,,241
22,96,,-,10,0,Nvidia,20,1024,25.6,128,800,3,GeForce 9600M GS,2.1,,,,,,2008-03-01,,25601600,4.0,,,,55.0,20.0,121.0,314.0,430.0,TSMC,NVIDIA,68.8,,228
23,96,,-,10,0,Nvidia,20,1024,25.6,128,800,3,GeForce 9500M G,2.1,,,,,,2008-03-01,,25601600,4.0,,,,65.0,20.0,144.0,314.0,500.0,UMC,NVIDIA,40.0,,228
24,98,,-,10,0,Nvidia,13,256,11.2,64,700,3,GeForce 9300M GS,2.1,,,,,,2008-02-01,,25601600,4.0,,,,65.0,13.0,86.0,210.0,550.0,TSMC,NVIDIA,22.4,,232
25,86,,-,10,0,Nvidia,13,256,9.6,64,600,3,GeForce 9300M G,2.1,,,,80,,2008-02-01,,25601600,4.0,,,,80.0,13.0,127.0,210.0,400.0,TSMC,NVIDIA,25.6,,232
26,,,-,10,0,Nvidia,12,256,,,,,GeForce 9400M,3.3,,,,,,2008-01-01,,25601600,4.0,,,,65.0,12.0,144.0,314.0,450.0,Unknown,NVIDIA,35.2,,241
27,,,-,10,0,Nvidia,12,256,,,,,GeForce 9400M,3.3,,,,,,2008-01-01,,25601600,4.0,,,,65.0,12.0,144.0,314.0,580.0,Unknown,NVIDIA,44.8,,241
28,98,,-,10,0,Nvidia,13,256,11.2,64,700,3,GeForce 9200M GS,2.1,,,,,,2008-03-01,,25601600,4.0,,,,65.0,13.0,86.0,210.0,550.0,TSMC,NVIDIA,22.4,,228
29,79,,-,10,0,Nvidia,12,,,128,,,GeForce 9400M G,3.3,,,,,,2008-01-01,,25601600,4.0,,,,65.0,12.0,144.0,314.0,450.0,Unknown,NVIDIA,35.2,,241
30,216,,-,10.1,0,Nvidia,35,1024,25.3,128,790,3,Quadro FX 880M,3.2,,,,40,,2010-07-01,,,4.0,,,,40.0,35.0,100.0,486.0,550.0,TSMC,NVIDIA,116.2,,176
31,84,,-,10,0,Nvidia,45,512,22.4,128,700,3,Quadro FX 570M,2.1,,,,80,,2007-01-01,,25601600,4.0,,,,80.0,45.0,169.0,289.0,475.0,TSMC,NVIDIA,60.8,,272
32,218,,-,10.1,0,Nvidia,25,512,12.8,64,800,3,Quadro FX 380M,3.2,,,,40,,2010-07-01,,25601600,4.0,,,,40.0,25.0,57.0,260.0,606.0,TSMC,NVIDIA,46.98,,176
33,86,,-,10,0,Nvidia,17,256,9.6,64,600,3,Quadro FX 360M,2.1,,,,80,,2007-09-01,,25601600,4.0,,,,80.0,17.0,127.0,210.0,400.0,TSMC,NVIDIA,25.6,,263
34,92,,-,10,0,Nvidia,75,1024,64,256,1000,3,Quadro FX 2800M,3.2,,,,65,,2009-01-01,,25601600,4.0,,,,65.0,75.0,324.0,754.0,600.0,TSMC,NVIDIA,288.0,,218
35,71,,-,10,0,Nvidia,45,512,44.8,256,700,3,Quadro FX 3500M,2.1,,,,,,2007-01-01,,25601600,4.0,,,,90.0,45.0,196.0,278.0,575.0,TSMC,NVIDIA,,,272
36,215,,-,10.1,0,Nvidia,45,1024,70.4,128,1100,5,Quadro FX 1800M,3.2,,,,40,,2010-01-01,,,4.0,,,,40.0,45.0,144.0,727.0,561.0,TSMC,NVIDIA,162.0,,197
37,96,,-,10,0,Nvidia,50,512,25.6,128,800,3,Quadro FX 1700M,2.1,,,,,,2008-01-01,,25601600,4.0,,,,65.0,50.0,144.0,314.0,625.0,UMC,NVIDIA,99.2,,241
38,104,,601,12.0,512,Nvidia,100,4096,89.6,256,700,5,Quadro K4000M,4.5,,19,,28,32,2012-01-01,,40962160,5.0,80.0,48,,28.0,100.0,294.0,3540.0,601.0,TSMC,NVIDIA,1154.0,48.08,86
39,107,,850,12.0,256,Nvidia,,1024,14.4,64,900,3,Quadro K500M,4.5,,,,28,,2012-01-01,,40962160,5.0,,,,28.0,35.0,118.0,1270.0,850.0,TSMC,NVIDIA,326.4,13.6,86
40,104,19201080,601,12.0,512,Nvidia,100,4096,96,256,750,5,Quadro K5000M,4.5,,19,,28,32,2012-01-01,,40962160,5.0,112.0,67,,28.0,100.0,294.0,3540.0,601.0,TSMC,NVIDIA,1615.0,67.31,86
41,104,,654,12.0,512,Nvidia,75,2048,89.6,256,700,5,Quadro K3000M,4.5,,,,28,,2012-01-01,,40962160,5.0,,,,28.0,75.0,294.0,3540.0,654.0,TSMC,NVIDIA,753.4,31.39,86
42,107,,745,12.0,256,Nvidia,55,2048,28.8,128,900,3,Quadro K2000M,4.5,,,,28,,2012-01-01,,40962160,5.0,,,,28.0,55.0,118.0,1270.0,745.0,TSMC,NVIDIA,572.2,23.84,86
43,107,,850,12.0,256,Nvidia,45,2048,28.8,128,900,3,Quadro K1000M,4.5,,14,,28,16,2012-01-01,,40962160,5.0,16.0,14,,28.0,45.0,118.0,1270.0,850.0,TSMC,NVIDIA,326.4,13.6,86
44,84,,-,10,0,Nvidia,50,512,25.6,128,800,3,Quadro FX 1600M,2.1,,,,80,,2007-01-01,,25601600,4.0,,,,80.0,50.0,169.0,289.0,625.0,TSMC,NVIDIA,80.0,,272
45,108,,625,12.0,256,Nvidia,,1024,14.4,64,900,3,NVS 5200M,4.5,,,,40,,2012-01-01,,25601600,5.0,,,,40.0,25.0,116.0,585.0,672.0,TSMC,NVIDIA,258.0,21.5,86
46,108,,625,12.0,256,Nvidia,,1024,14.4,64,900,3,NVS 5200M,4.5,,,,40,,2012-01-01,,25601600,5.0,,,,28.0,25.0,116.0,585.0,625.0,TSMC,NVIDIA,240.0,20.0,86
47,216,,-,10.1,0,Nvidia,35,1024,25.6,128,800,3,NVS 5100M,3.3,,,,40,,2010-07-01,,25601600,4.1,,,,40.0,35.0,100.0,486.0,550.0,TSMC,NVIDIA,116.2,,176
48,218,,-,10.1,0,Nvidia,14,512,12.8,64,800,3,NVS 3100M,3.3,,,,40,,2010-07-01,,25601600,4.1,,,,40.0,14.0,57.0,260.0,606.0,TSMC,NVIDIA,46.98,,176
49,218,,-,10.1,0,Nvidia,14,512,12.8,64,800,3,NVS 2100M,3.3,,,,40,,2010-07-01,,25601600,4.1,,,,40.0,11.0,57.0,260.0,535.0,TSMC,NVIDIA,39.36,,176
50,86,,-,10,0,Nvidia,10,256,9.6,64,600,3,Quadro NVS 135M,3.3,,,,80,,2007-09-01,,16001200,4.0,,,,80.0,10.0,127.0,210.0,400.0,TSMC,NVIDIA,25.6,,263
51,86,,-,10,0,Nvidia,10,256,11.2,64,700,3,Quadro NVS 130M,3.3,,,,80,,2007-09-01,,16001200,4.0,,,,80.0,10.0,127.0,210.0,400.0,TSMC,NVIDIA,12.8,,263
52,72,,-,9,0,Nvidia,10,512,11.2,64,700,3,Quadro NVS 120M,2.1,,,,,,2006-01-01,,16001200,3.0,,,,90.0,10.0,81.0,112.0,450.0,TSMC,NVIDIA,,,294
53,72,,-,9,0,Nvidia,10,512,,64,,,Quadro NVS 110M,2.1,,,,,,2006-01-01,,16001200,3.0,,,,90.0,10.0,81.0,112.0,300.0,TSMC,NVIDIA,,,294
54,92,,-,10,0,Nvidia,65,512,51.2,256,800,3,GeForce 8800M GTX,2.1,,,,65,,2007-01-01,,25601600,4.0,,,,65.0,65.0,324.0,754.0,500.0,TSMC,NVIDIA,240.0,,272
55,92,,-,10,0,Nvidia,50,512,51.2,256,800,3,GeForce 8800M GTS,2.1,,,,65,,2007-01-01,,25601600,4.0,,,,65.0,50.0,324.0,754.0,500.0,TSMC,NVIDIA,160.0,,272
56,71,,-,9,0,Nvidia,45,512,38.4,256,600,3,GeForce Go 7900 GTX,2.1,,,,,,2006-01-01,,25601600,3.0,,,,90.0,45.0,196.0,278.0,500.0,TSMC,NVIDIA,,,294
57,72,,-,9,0,Nvidia,,64,2.8,32,350,3,GeForce Go 7200,2.1,,,,,,2006-01-01,,25601600,3.0,,,,90.0,,81.0,112.0,450.0,TSMC,NVIDIA,,,294
58,70,,-,9,0,Nvidia,65,512,35.2,256,550,3,GeForce Go 7800 GTX,2.1,,,,,,2005-01-01,,25601600,3.0,,,,110.0,65.0,333.0,302.0,440.0,TSMC,NVIDIA,,,323
59,71,,-,9,0,Nvidia,45,512,44.8,256,700,3,GeForce Go 7950 GTX,2.1,,,,,,2006-01-01,,25601600,3.0,,,,90.0,45.0,196.0,278.0,575.0,TSMC,NVIDIA,,,294
60,71,,-,9,0,Nvidia,20,512,32,256,500,3,GeForce Go 7900 GS,2.1,,,,,,2006-01-01,,25601600,3.0,,,,90.0,20.0,196.0,278.0,375.0,TSMC,NVIDIA,,,294
61,94,,-,10,0,Nvidia,60,1024,51.2,256,800,3,GeForce GTS 160M,2.1,,,,55,,2009-02-01,,25601600,4.0,,,,65.0,60.0,240.0,505.0,600.0,TSMC,NVIDIA,192.0,,216
62,108,1366768,672,12.0,256,Nvidia,35,1024,28.8,128,900,3,GeForce GT 540M,4.5,,3,,40,4,2011-06-01,,25601600,5.0,16.0,11,,40.0,35.0,116.0,585.0,672.0,TSMC,NVIDIA,258.0,21.5,121
63,106,1366768,590,12.0,384,Nvidia,35,1536,43.2,192,900,3,GeForce GT 555M,4.5,,9,,40,16,2011-05-01,,25601600,5.0,24.0,14,,40.0,35.0,238.0,1170.0,675.0,TSMC,NVIDIA,388.8,32.4,122
64,106,1366768,590,12.0,384,Nvidia,35,1536,43.2,192,900,3,GeForce GT 555M,4.5,,9,,40,16,2011-05-01,,25601600,5.0,24.0,14,,40.0,35.0,116.0,585.0,753.0,TSMC,NVIDIA,289.2,24.1,122
65,106,1366768,590,12.0,384,Nvidia,35,1536,43.2,192,900,3,GeForce GT 555M,4.5,,9,,40,16,2011-05-01,,25601600,5.0,24.0,14,,40.0,35.0,238.0,1170.0,590.0,TSMC,NVIDIA,339.8,28.32,122
66,106,1366768,590,12.0,384,Nvidia,35,1536,43.2,192,900,3,GeForce GT 555M,4.5,,9,,40,16,2011-05-01,,25601600,5.0,24.0,14,,40.0,35.0,238.0,1170.0,525.0,TSMC,NVIDIA,302.4,25.2,122
67,106,1366768,590,12.0,384,Nvidia,35,1536,43.2,192,900,3,GeForce GT 555M,4.5,,9,,40,16,2011-05-01,,25601600,5.0,24.0,14,,40.0,35.0,238.0,1170.0,590.0,TSMC,NVIDIA,339.8,28.32,122
68,108,1366768,740,12.0,256,Nvidia,35,1024,28.8,128,900,3,GeForce GT 550M,4.5,,3,,40,4,2011-05-01,,25601600,5.0,16.0,12,,40.0,35.0,116.0,585.0,740.0,TSMC,NVIDIA,284.2,23.68,122
69,108,1366768,600,12.0,256,Nvidia,23,1024,28.8,128,900,3,GeForce GT 525M,4.5,,2,,40,4,2011-05-01,,25601600,5.0,16.0,10,,40.0,23.0,116.0,585.0,600.0,TSMC,NVIDIA,230.4,19.2,122
70,119,1024768,740,12.0,128,Nvidia,12,1024,12.8,64,800,3,GeForce GT 520M,4.5,,3,,40,4,2011-05-01,,25601600,5.0,8.0,6,,40.0,12.0,79.0,292.0,740.0,TSMC,NVIDIA,142.1,11.84,122
