Unnamed: 0,GPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
2203,wii u gpu,GPU,2012-11-18,40.0,33.0,146.0,880.0,550.0,Renesas,AMD,,176.0,
2204,radeon rx 6800,GPU,2020-10-28,7.0,250.0,520.0,26800.0,1700.0,TSMC,AMD,32330.0,16170.000000000002,1010.0
2209,radeon hd 8400 igp,GPU,2013-11-23,28.0,25.0,110.0,1178.0,600.0,TSMC,AMD,,153.6,9.6
2217,radeon r7 mobile graphics,GPU,2015-11-15,28.0,15.0,125.0,1200.0,200.0,GF,AMD,737.3,737.3,368.6
2223,radeon rx 560 xt,GPU,2019-03-13,14.0,150.0,232.0,5700.0,1074.0,GF,AMD,4394.0,4394.0,274.6
2228,radeon hd 7350 oem,GPU,2012-01-05,40.0,19.0,59.0,292.0,650.0,TSMC,AMD,,104.0,
2232,radeon r7 m445,GPU,2016-05-15,28.0,,125.0,1550.0,780.0,TSMC,AMD,588.8,588.8,36.8
2242,radeon r5 m255,GPU,2014-10-12,28.0,,125.0,1550.0,925.0,TSMC,AMD,721.9,721.9,45.12
2246,radeon hd 7450a,GPU,2012-01-05,40.0,25.0,67.0,370.0,625.0,TSMC,AMD,,200.0,
2255,radeon pro vega ii,GPU,2019-06-03,7.0,475.0,331.0,13230.0,1574.0,TSMC,AMD,28180.0,14090.0,880.6
2258,radeon e8870,GPU,2015-09-29,28.0,75.0,160.0,2080.0,1000.0,TSMC,AMD,,1536.0,96.0
2263,radeon pro 5300,GPU,2020-08-04,7.0,85.0,158.0,6400.0,1000.0,TSMC,AMD,8448.0,4224.0,264.0
2284,radeon hd 8790m,GPU,2013-04-01,28.0,,77.0,950.0,850.0,TSMC,AMD,,691.2,43.2
2286,radeon r7 340 oem,GPU,2015-05-05,28.0,50.0,77.0,950.0,730.0,TSMC,AMD,,599.0,37.44
2289,radeon rx 580 oem,GPU,2016-06-29,14.0,150.0,232.0,5700.0,1120.0,GF,AMD,5834.0,5834.0,364.6
2291,radeon 550x mobile,GPU,2018-04-11,14.0,50.0,103.0,2200.0,1100.0,GF,AMD,1647.0,1647.0,103.0
2301,radeon rx 570,GPU,2017-04-18,14.0,150.0,232.0,5700.0,1168.0,GF,AMD,5095.0,5095.0,318.5
2305,radeon hd 6310 igp,GPU,2010-11-09,40.0,18.0,75.0,450.0,488.0,TSMC,AMD,,78.08,
2308,radeon r7 250 oem,GPU,2013-10-08,28.0,65.0,77.0,950.0,1000.0,TSMC,AMD,,806.4,50.4
2316,radeon r7 240,GPU,2013-10-08,28.0,30.0,77.0,950.0,730.0,TSMC,AMD,,499.2,
2321,radeon hd 7510m,GPU,2012-01-07,40.0,11.0,104.0,716.0,450.0,TSMC,AMD,,360.0,
2322,radeon r6 mobile graphics,GPU,2015-11-07,28.0,15.0,125.0,1200.0,200.0,GF,AMD,553.0,553.0,276.5
2328,radeon hd 6990,GPU,2011-03-08,40.0,375.0,389.0,2640.0,830.0,TSMC,AMD,,2550.0,637.4
2332,radeon r5 a240,GPU,2014-01-01,28.0,,56.0,690.0,1030.0,TSMC,AMD,,659.2,
2344,radeon hd 6630m,GPU,2011-01-04,40.0,26.0,104.0,716.0,500.0,TSMC,AMD,,480.0,
2345,radeon r5 330 oem,GPU,2015-05-05,28.0,50.0,56.0,690.0,830.0,TSMC,AMD,,547.2,
2347,radeon hd 7730m,GPU,2012-04-24,28.0,25.0,123.0,1500.0,575.0,TSMC,AMD,,691.2,43.2
2348,radeon hd 7670a,GPU,2012-01-05,40.0,45.0,118.0,716.0,600.0,TSMC,AMD,,576.0,
2349,radeon hd 7310 igp,GPU,2012-06-06,40.0,18.0,75.0,450.0,500.0,TSMC,AMD,,80.0,
2352,firepro s9100,GPU,2014-10-02,28.0,225.0,438.0,6200.0,824.0,TSMC,AMD,,4219.0,2109.0
2353,radeon hd 6650m,GPU,2011-01-04,40.0,,104.0,716.0,600.0,TSMC,AMD,,576.0,
2354,radeon hd 7570m,GPU,2012-01-07,40.0,13.0,104.0,716.0,500.0,TSMC,AMD,,480.0,
2355,firepro w4300,GPU,2015-12-01,28.0,50.0,160.0,2080.0,930.0,TSMC,AMD,,1428.0,89.28
2356,radeon vega 10 mobile,GPU,2019-01-08,14.0,10.0,210.0,4940.0,300.0,GF,AMD,3331.0,1665.0,104.1
2362,radeon r7 m380,GPU,2015-05-05,28.0,,123.0,1500.0,900.0,TSMC,AMD,,1171.0,73.2
2365,radeon hd 7570,GPU,2012-01-05,40.0,60.0,118.0,716.0,650.0,TSMC,AMD,,624.0,
2370,radeon hd 7770 ghz edition,GPU,2012-02-15,28.0,80.0,123.0,1500.0,1000.0,TSMC,AMD,,1280.0,80.0
2378,radeon e6465,GPU,2015-09-29,40.0,25.0,67.0,370.0,600.0,TSMC,AMD,,192.0,
2382,radeon r4 mobile graphics,GPU,2016-06-01,28.0,15.0,125.0,1200.0,200.0,GF,AMD,251.5,251.5,15.72
2383,radeon r5 graphics,GPU,2014-09-17,28.0,15.0,245.0,2410.0,497.0,GF,AMD,,254.5,15.9
2395,radeon r5 a230,GPU,2014-01-07,28.0,,56.0,690.0,780.0,TSMC,AMD,,547.2,34.2
2397,radeon hd 7450m,GPU,2012-01-07,40.0,7.0,67.0,370.0,700.0,TSMC,AMD,,224.0,
2402,radeon r3 mobile graphics,GPU,2015-01-28,28.0,15.0,107.0,930.0,600.0,GF,AMD,,153.6,9.6
2406,radeon hd 7600g igp,GPU,2012-09-01,32.0,19.0,246.0,1303.0,320.0,TSMC,AMD,,325.6,
2407,radeon hd 6970m,GPU,2011-01-04,40.0,75.0,212.0,1700.0,680.0,TSMC,AMD,,1306.0,
2416,radeon hd 6320 igp,GPU,2011-08-15,40.0,18.0,75.0,450.0,508.0,TSMC,AMD,,81.28,
2420,radeon rx 6600m,GPU,NaT,7.0,150.0,236.0,,1489.0,TSMC,AMD,15090.0,7544.0,471.5
2426,firepro s10000 passive 12gb,GPU,2014-03-01,28.0,375.0,352.0,4313.0,825.0,TSMC,AMD,,3405.0,851.2
2427,radeon hd 7620g igp,GPU,2012-05-15,32.0,25.0,246.0,1303.0,360.0,TSMC,AMD,,381.7,
2430,radeon pro duo,GPU,2016-04-26,28.0,350.0,596.0,8900.0,1000.0,TSMC,AMD,8192.0,8192.0,512.0
2431,radeon pro 5500m,GPU,2019-11-13,7.0,85.0,158.0,6400.0,1000.0,TSMC,AMD,8909.0,4454.0,278.4
2433,radeon r3e mobile graphics,GPU,2015-01-28,28.0,100.0,107.0,930.0,351.0,GF,AMD,,89.86,5.616
2442,radeon rx 5300m,GPU,2019-11-13,7.0,85.0,158.0,6400.0,1000.0,TSMC,AMD,8138.0,4069.0,254.3
2444,firepro s9170,GPU,2015-07-08,28.0,275.0,438.0,6200.0,930.0,TSMC,AMD,,5238.0,2619.0
2448,radeon hd 6625m,GPU,2011-01-04,40.0,26.0,104.0,716.0,450.0,TSMC,AMD,,432.0,
2451,radeon vega 8 embedded,GPU,2018-04-19,14.0,35.0,210.0,4940.0,300.0,GF,AMD,2255.0,1127.0,70.46
2458,radeon hd 7510 oem,GPU,2013-02-01,40.0,39.0,118.0,716.0,650.0,TSMC,AMD,,416.0,
2459,radeon r7 370,GPU,2015-06-18,28.0,110.0,212.0,2800.0,925.0,TSMC,AMD,,1997.0,124.8
2463,radeon r3 mobile graphics,GPU,2016-06-01,28.0,15.0,125.0,1200.0,200.0,GF,AMD,167.7,167.7,10.48
2464,radeon vega 8 embedded,GPU,2018-02-13,14.0,15.0,210.0,4940.0,300.0,GF,AMD,2253.0,1126.0,70.4
2468,radeon r9 290x,GPU,2013-10-24,28.0,290.0,438.0,6200.0,1000.0,TSMC,AMD,,5632.0,704.0
2469,radeon r9 270,GPU,2013-11-13,28.0,150.0,212.0,2800.0,900.0,TSMC,AMD,,2368.0,148.0
2470,radeon rx 5700 xt,GPU,2019-07-07,7.0,225.0,251.0,10300.0,1605.0,TSMC,AMD,19510.0,9754.0,609.6
2477,radeon r7 m260dx,GPU,2014-01-07,28.0,,56.0,690.0,955.0,TSMC,AMD,,659.2,41.2
2479,radeon hd 7480d igp,GPU,2012-10-02,32.0,65.0,246.0,1303.0,720.0,TSMC,AMD,,184.3,
2481,radeon hd 6970,GPU,2010-12-14,40.0,250.0,389.0,2640.0,880.0,TSMC,AMD,,2703.0,675.8
2482,radeon r7 250xe,GPU,2014-08-21,28.0,80.0,123.0,1500.0,860.0,TSMC,AMD,,1101.0,68.8
2484,radeon hd 7970 x2,GPU,2012-08-31,28.0,500.0,352.0,4313.0,925.0,TSMC,AMD,,3789.0,947.2
2493,radeon r5 230,GPU,2014-04-03,40.0,19.0,67.0,370.0,625.0,TSMC,AMD,,200.0,
2495,radeon hd 7970,GPU,2011-12-22,28.0,250.0,352.0,4313.0,925.0,TSMC,AMD,,3789.0,947.2
2496,radeon rx 6700m,GPU,NaT,7.0,180.0,335.0,17200.0,1489.0,TSMC,AMD,20740.0,10370.0,648.0
2499,radeon e9171 mcm,GPU,2017-10-03,14.0,40.0,103.0,2200.0,1124.0,GF,AMD,1248.0,1248.0,78.02
2504,radeon e8860,GPU,2014-01-25,28.0,37.0,123.0,1500.0,575.0,TSMC,AMD,,800.0,50.0
2505,radeon pro vega 16,GPU,2018-11-14,14.0,75.0,,,815.0,GF,AMD,4874.0,2437.0,152.3
2512,radeon r9 m485x,GPU,2016-05-15,28.0,250.0,366.0,5000.0,723.0,TSMC,AMD,2961.0,2961.0,185.1
2518,radeon rx vega 11,GPU,2019-07-07,14.0,15.0,210.0,4940.0,300.0,GF,AMD,3942.0,1971.0,123.2
2521,radeon r5 235x oem,GPU,2013-12-21,40.0,18.0,67.0,370.0,875.0,TSMC,AMD,,280.0,
2523,radeon pro duo polaris,GPU,2017-04-24,14.0,250.0,232.0,5700.0,1243.0,GF,AMD,5728.0,5728.0,358.0
2524,radeon rx 550x,GPU,2018-12-16,14.0,50.0,103.0,2200.0,1100.0,GF,AMD,1211.0,1211.0,75.71
2526,radeon rx 560 mobile,GPU,2017-01-05,14.0,55.0,123.0,3000.0,1000.0,GF,AMD,1887.0,1887.0,117.9
2530,firepro w4000,GPU,2012-08-07,28.0,75.0,212.0,2800.0,825.0,TSMC,AMD,,1267.0,79.2
2535,radeon e9550 mxm,GPU,2016-09-27,14.0,95.0,232.0,5700.0,1120.0,GF,AMD,5834.0,5834.0,364.6
2538,radeon hd 8670a,GPU,2013-02-02,28.0,45.0,77.0,950.0,600.0,TSMC,AMD,,460.8,28.8
2540,radeon r9 285x,GPU,NaT,28.0,200.0,366.0,5000.0,1002.0,TSMC,AMD,,4104.0,
2544,radeon r7 a265,GPU,2014-01-09,28.0,,77.0,950.0,725.0,TSMC,AMD,,633.6,39.6
2552,radeon r5 a255,GPU,2014-01-01,28.0,,125.0,1550.0,925.0,TSMC,AMD,,721.9,
2556,firepro w8100,GPU,2014-06-23,28.0,220.0,438.0,6200.0,824.0,TSMC,AMD,,4219.0,2109.0
2562,radeon r7 graphics,GPU,2014-02-17,28.0,90.0,245.0,2410.0,720.0,GF,AMD,,553.0,34.56
2567,radeon r8 m535dx,GPU,2017-04-18,28.0,,125.0,1550.0,780.0,TSMC,AMD,570.2,570.2,35.64
2570,firepro s7100x,GPU,2016-05-25,28.0,100.0,366.0,5000.0,725.0,TSMC,AMD,2970.0,2970.0,185.6
2572,radeon hd 8860 oem,GPU,2013-01-08,28.0,175.0,212.0,2800.0,925.0,TSMC,AMD,,2368.0,148.0
2575,radeon hd 6250 igp,GPU,2012-10-09,40.0,7.0,75.0,450.0,276.0,TSMC,AMD,,44.16,
2580,radeon r7 m260x,GPU,2015-12-06,28.0,,77.0,950.0,620.0,TSMC,AMD,,549.1,
2582,radeon r5 m230 rebrand,GPU,2014-05-31,28.0,,56.0,690.0,780.0,TSMC,AMD,,544.0,34.0
2585,radeon hd 7340 igp,GPU,2012-06-06,40.0,18.0,75.0,450.0,523.0,TSMC,AMD,,83.68,
2586,radeon rx 460 mobile,GPU,2016-08-08,14.0,55.0,123.0,3000.0,1000.0,GF,AMD,2115.0,2115.0,132.2
2588,radeon vega 8 mobile,GPU,2021-01-12,7.0,45.0,156.0,9800.0,300.0,TSMC,AMD,4096.0,2048.0,128.0
2598,radeon pro 450,GPU,2016-10-30,14.0,35.0,123.0,3000.0,800.0,GF,AMD,1024.0,1024.0,64.0
2602,radeon graphics 384sp,GPU,2020-01-06,7.0,15.0,156.0,9800.0,400.0,TSMC,AMD,2304.0,1152.0,72.0
2606,radeon hd 7950 monica bios 1,GPU,2012-01-31,28.0,185.0,352.0,4313.0,925.0,TSMC,AMD,,2842.0,710.4
2607,radeon r7 260,GPU,2013-12-17,28.0,95.0,160.0,2080.0,1000.0,TSMC,AMD,,1536.0,96.0
2614,radeon pro v520,GPU,2020-12-01,7.0,225.0,,,1000.0,TSMC,AMD,14750.0,7373.0,460.8
2617,firepro m8900,GPU,2011-04-12,40.0,75.0,212.0,1700.0,680.0,TSMC,AMD,,1306.0,
2618,radeon hd 8250 igp,GPU,2013-05-23,28.0,8.0,110.0,1178.0,300.0,TSMC,AMD,,102.4,6.4
2620,radeon hd 6630m mac edition,GPU,2011-01-04,40.0,26.0,104.0,716.0,500.0,TSMC,AMD,,480.0,
2621,radeon r9 m275,GPU,2014-01-28,28.0,,123.0,1500.0,900.0,TSMC,AMD,,1184.0,74.0
2636,radeon hd 6850 x2,GPU,2011-09-19,40.0,254.0,255.0,1700.0,800.0,TSMC,AMD,,1536.0,
2637,radeon hd 7970 ghz edition,GPU,2012-06-22,28.0,300.0,352.0,4313.0,1000.0,TSMC,AMD,,4301.0,1075.0
2639,radeon e9172 mxm,GPU,2017-10-03,14.0,35.0,103.0,2200.0,1124.0,GF,AMD,1248.0,1248.0,78.02
2640,radeon hd 8280 igp,GPU,2013-09-18,28.0,15.0,110.0,1178.0,450.0,TSMC,AMD,,115.2,7.2
2649,radeon hd 7370m,GPU,2012-01-07,40.0,11.0,59.0,292.0,750.0,TSMC,AMD,,120.0,
2654,radeon r5 240 oem,GPU,2013-11-01,28.0,50.0,77.0,950.0,730.0,TSMC,AMD,,599.0,37.44
2659,radeon r2 mobile graphics,GPU,2016-06-01,28.0,15.0,125.0,1200.0,200.0,GF,AMD,153.6,153.6,9.6
2660,radeon 540x mobile,GPU,2018-09-05,14.0,50.0,103.0,2200.0,980.0,GF,AMD,1071.0,1071.0,66.94
2663,radeon r8 m365dx,GPU,2015-06-03,28.0,,125.0,1550.0,900.0,TSMC,AMD,864.0,864.0,54.0
2664,radeon r9 380 oem,GPU,2015-05-05,28.0,190.0,366.0,5000.0,918.0,TSMC,AMD,3290.0,3290.0,205.6
2666,playstation 4 slim gpu,GPU,2016-09-07,16.0,75.0,209.0,,800.0,TSMC,AMD,1843.0,1843.0,
2668,radeon hd 6870 1600sp edition,GPU,2013-01-14,40.0,175.0,334.0,2154.0,850.0,TSMC,AMD,,2720.0,544.0
2676,radeon rx 640 mobile,GPU,2019-05-13,14.0,50.0,103.0,2200.0,1082.0,GF,AMD,1559.0,1559.0,97.44
2681,radeon r9 m295x,GPU,2014-11-23,28.0,250.0,366.0,5000.0,723.0,TSMC,AMD,2961.0,2961.0,185.1
2685,radeon hd 7990,GPU,2013-04-24,28.0,375.0,365.0,4313.0,950.0,TSMC,AMD,,4096.0,1024.0
2687,radeon rx 560 mobile,GPU,2017-01-05,14.0,55.0,123.0,3000.0,784.0,GF,AMD,1849.0,1849.0,115.6
2699,radeon hd 7470a,GPU,2012-01-05,40.0,18.0,104.0,627.0,775.0,TSMC,AMD,,620.0,
2700,radeon r5 310 oem,GPU,2015-05-05,40.0,35.0,67.0,370.0,775.0,TSMC,AMD,,248.0,
2703,radeon hd 6430m,GPU,2011-01-04,40.0,,67.0,370.0,480.0,TSMC,AMD,,153.6,
2710,radeon hd 6490m mac edition,GPU,2011-05-02,40.0,,67.0,370.0,750.0,TSMC,AMD,,240.0,
2714,radeon r7 450 oem,GPU,2016-06-30,28.0,65.0,123.0,1500.0,925.0,TSMC,AMD,,947.2,59.2
2716,radeon hd 6610m,GPU,2011-01-04,40.0,26.0,104.0,716.0,450.0,TSMC,AMD,,432.0,
2718,radeon r9 m395x mac edition,GPU,2015-05-05,28.0,250.0,366.0,5000.0,909.0,TSMC,AMD,3723.0,3723.0,232.7
2719,radeon pro ssg,GPU,2017-08-08,14.0,260.0,495.0,12500.0,1440.0,GF,AMD,24580.0,12290.0,768.0
2729,radeon e6760 mxm,GPU,2011-05-02,40.0,45.0,118.0,716.0,600.0,TSMC,AMD,,576.0,
2730,firepro w7100,GPU,2014-08-12,28.0,150.0,366.0,5000.0,920.0,TSMC,AMD,3297.0,3297.0,206.1
2736,radeon 520 mobile,GPU,2017-04-18,28.0,50.0,56.0,690.0,1030.0,TSMC,AMD,,659.2,41.2
2738,radeon hd 8950m,GPU,2013-05-14,28.0,100.0,160.0,2080.0,1075.0,TSMC,AMD,,1651.0,103.2
2740,radeon r7 m465,GPU,2016-05-15,28.0,,125.0,1550.0,1100.0,TSMC,AMD,864.0,864.0,54.0
2743,radeon rx 6600 xt,GPU,NaT,7.0,180.0,236.0,,1489.0,TSMC,AMD,20480.0,10240.0,640.0
2747,radeon hd 8730m,GPU,2013-04-01,28.0,,77.0,950.0,650.0,TSMC,AMD,,537.6,33.6
2749,radeon e8950,GPU,2015-09-29,28.0,95.0,366.0,5000.0,735.0,TSMC,AMD,4096.0,4096.0,256.0
2750,radeon r4 mobile graphics,GPU,2014-09-17,28.0,17.0,245.0,2410.0,533.0,GF,AMD,,204.7,12.79
2754,radeon pro 555x,GPU,2018-07-16,14.0,75.0,123.0,3000.0,907.0,GF,AMD,1393.0,1393.0,87.07
2757,radeon r9 370x,GPU,2015-08-27,28.0,180.0,212.0,2800.0,980.0,TSMC,AMD,,2637.0,164.8
2758,radeon vega 3 mobile,GPU,2019-01-06,14.0,15.0,210.0,4940.0,300.0,GF,AMD,768.8,384.4,24.02
2759,radeon r7 m265dx,GPU,2014-01-07,28.0,,56.0,690.0,780.0,TSMC,AMD,,547.2,34.2
2761,radeon hd 7950m,GPU,2012-04-24,28.0,75.0,212.0,2800.0,700.0,TSMC,AMD,,1792.0,
2763,radeon vega 8,GPU,2018-02-12,14.0,65.0,210.0,4940.0,300.0,GF,AMD,2253.0,1126.0,70.4
2767,radeon r7 360,GPU,2015-06-18,28.0,100.0,160.0,2080.0,1000.0,TSMC,AMD,,1613.0,100.8
2768,radeon r7 m260dx,GPU,2014-10-12,28.0,,125.0,1550.0,925.0,TSMC,AMD,721.9,721.9,45.12
2782,radeon vega 11 embedded,GPU,2018-02-13,14.0,35.0,210.0,4940.0,300.0,GF,AMD,3664.0,1832.0,114.5
2793,radeon hd 7670 oem,GPU,2012-01-05,40.0,66.0,118.0,716.0,800.0,TSMC,AMD,,768.0,
