GPUname,GPUname
radeon hd 2900 xt 512mb,wii u gpu
radeon hd 2900 pro,radeon rx 6800
radeon hd 2600 xt diamond edition,radeon hd 8400 igp
radeon hd 2600 xt,radeon r7 mobile graphics
radeon hd 2600 xt 256mb gddr4,radeon rx 560 xt
radeon hd 4890 sapphire vapor-x oc 2gb edition,radeon hd 7350 oem
radeon hd 2900 gt,radeon r7 m445
firepro d300,radeon r5 m255
radeon 7000 64mb,radeon hd 7450a
all-in-wonder radeon 7500,radeon pro vega ii
radeon r7 250 v2 msi oc 2gb + radeon r7 7870k dual,radeon e8870
radeon 9800 xt,radeon pro 5300
radeon hd 8670d + 6670 dual,radeon hd 8790m
radeon hd 7660d + 6670 dual,radeon r7 340 oem
radeon hd 7560d + 7670 dual,radeon rx 580 oem
radeon hd 7560d + 6570 dual,radeon 550x mobile
radeon hd 7660d + 7670 dual,radeon rx 570
radeon 8500 series 64mb,radeon hd 6310 igp
radeon 9800 pro,radeon r7 250 oem
radeon 9600 pro pc/mac edition,radeon r7 240
radeon 9550,radeon hd 7510m
radeon 9600 pro,radeon r6 mobile graphics
radeon 9500 pro,radeon hd 6990
radeon 9500,radeon r5 a240
radeon 9600 series,radeon hd 6630m
radeon 9250,radeon r5 330 oem
radeon 9200 series,radeon hd 7730m
radeon 9100,radeon hd 7670a
firegl v7700,radeon hd 7310 igp
firegl v7350,firepro s9100
firegl v7100,radeon hd 6650m
radeon 9000 series 64mb,radeon hd 7570m
firegl v8600,firepro w4300
firegl v5600,radeon vega 10 mobile
firegl v7200,radeon r7 m380
firegl v7600,radeon hd 7570
firegl z1,radeon hd 7770 ghz edition
firegl v5100,radeon e6465
firegl v3600,radeon r4 mobile graphics
firegl v3350,radeon r5 graphics
firegl v3300,radeon r5 a230
firegl v3400,radeon hd 7450m
firepro w9100,radeon r3 mobile graphics
firepro w8000,radeon hd 7600g igp
firegl v3100,radeon hd 6970m
firepro w5000,radeon hd 6320 igp
firepro w9000,radeon rx 6600m
firepro v8750,firepro s10000 passive 12gb
firepro w7000,radeon hd 7620g igp
firepro v7900,radeon pro duo
firepro w2100,radeon pro 5500m
firepro v8700,radeon r3e mobile graphics
firepro v7800,radeon rx 5300m
firepro v5900,firepro s9170
all-in-wonder 9000 64mb,radeon hd 6625m
firepro v5800,radeon vega 8 embedded
firepro v5700,radeon hd 7510 oem
firepro v3750,radeon r7 370
firegl 8800,radeon r3 mobile graphics
firepro s9150,radeon vega 8 embedded
firepro s9050,radeon r9 290x
firepro v9800,radeon r9 270
firepro s9000,radeon rx 5700 xt
firepro s7000,radeon r7 m260dx
firepro d700,radeon hd 7480d igp
firepro d500,radeon hd 6970
firepro v3900,radeon r7 250xe
radeon r7 7860k,radeon hd 7970 x2
firestream 9370,radeon r5 230
radeon r7 7700k,radeon hd 7970
radeon r7 7850k,radeon rx 6700m
radeon r7 7870k,radeon e9171 mcm
