GPUname,GPUname
geforce gts 150,geforce mx150 gp107
quadro4 980 xgl,geforce 7100 gs
tesla m2090,geforce 6800 xt
tesla k20,ion
tesla k40c,geforce gtx 760 oem
tesla k10,geforce gt 445m
tesla k20x,tesla v100 sxm2 32 gb
tesla c2070,tesla c870
tesla c2075,geforce gtx 470
quadro4 750 xgl,geforce gt 735m
quadro4 900 xgl,geforce go 6200
quadro4 780 xgl,grid k140q
tesla c2050,geforce gtx titan z
quadro4 580 xgl,geforce4 mx 4000 pci
quadro4 550 xgl,jetson nano gpu
quadro4 380 xgl,quadro4 900 xgl
quadro4 700 xgl,geforce gtx 860m oem
quadro4 500 xgl,geforce gtx 970m
titan x pascal 2016,p102-101
geforce titan xp,grid m3-3020
geforce gtx titan zotac edition,geforce 305m
geforce gtx titan z palit 12gb edition,geforce gtx 660 oem
geforce gtx titan z evga superclocked 12gb edition,geforce gtx 460 se
geforce gtx titan z,geforce go 7900 gs
geforce gtx titan z evga hydro copper 12gb edition,geforce 9800 gt rebrand
geforce gtx titan x evga hybrid 12gb edition,geforce4 mx 4000
geforce gtx titan x evga superclocked 12gb edition sli,geforce 8800 gts 320
geforce gtx titan zotac amp! edition,tegra 2 gpu
geforce gtx titan x sli,geforce gt 540m
geforce gtx titan x,tesla v100s pcie 32 gb
geforce gtx titan x evga superclocked 12gb edition,geforce mx450 25w
geforce gtx titan windforce 3x oc edition,geforce gtx 470 physx edition
geforce gtx titan sli,geforce 6800
geforce gtx titan p 12gb [not released],tesla p40
geforce gtx titan inno3d edition,geforce mx150
geforce gtx titan p 16gb [not released],quadro fx 1400
geforce gtx titan gigabyte edition,a10 pcie
geforce gtx titan ichill accelero hybrid edition,geforce gtx 470 x2
geforce gtx titan asus edition,quadro 2000
geforce gtx titan black edition,grid k560q
geforce gtx titan evga edition,geforce gts 250
geforce gtx titan,quadro 4000m
geforce gt 140,grid m60-8q
geforce gt 130,geforce4 mx 440-8x
geforce gt 120,quadro p3200 mobile
geforce g 100,geforce 9700m gts
quadro nvs 510m,geforce pcx 4300
quadro nvs 300m,geforce gtx 760m
quadro nvs 320m,geforce 6600 gt agp
quadro nvs 160m,geforce gt 120 oem
quadro nvs 150m,geforce gt 630m
nvs 5400m,quadro fx 1500m
geforce4 go 488,geforce 9200
geforce 9800m gts,quadro fx 4600 sdi
geforce 9800m gtx sli,quadro t1000 mobile
geforce 9800m gt sli,playstation 3 gpu 90nm
geforce 9800m gts sli,tesla k40s
geforce 9800m gtx,geforce gtx 1050 ti mobile
geforce 9800m gs,quadro2 mxr low profile
geforce 9700m gt,quadro rtx 4000 max-q
geforce 9800m gt,geforce4 mx 440-se
geforce 9650m gs,geforce 9600 gso
geforce 9700m gts,geforce4 ti 4800
geforce 9600m gt,geforce gtx 560 se
geforce 9650m gt,quadro fx go1000
geforce 9500m gs,geforce fx 5500
geforce 9600m gs,geforce gt 1030 gk107
geforce 9500m g,quadro rtx 3000 max-q
geforce 9300m gs,geforce gtx 1060 6 gb gddr5x
geforce 9300m g,geforce gtx 950m mac edition
geforce 9200m ge,geforce gt 740m
geforce 9400m,geforce 6600 ve
