Architecture,Best_Resolution,Boost_Clock,Core_Speed,DVI_Connection,Dedicated,Direct_X,DisplayPort_Connection,HDMI_Connection,Integrated,L2_Cache,Manufacturer,Max_Power,Memory,Memory_Bandwidth,Memory_Bus,Memory_Speed,Memory_Type,GPUname,Notebook_GPU,Open_GL,PSU,Pixel_Rate,Power_Connector,Process,ROPs,Release_Date,Release_Price,Resolution_WxH,SLI_Crossfire,Shader,TMUs,Texture_Rate,VGA_Connection,Unnamed: 0,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
NV28GL A2 ,,,"
- ",2.0,Yes,DX 8.1,,0.0,No,0KB,Nvidia,,128 MB ,5.2GB/sec,128 Bit ,325 MHz,DDR,quadro4 980 xgl,No,1.5,,1 GPixel/s,None ,150nm,4,"
01-Nov-2002 ",,,No,1.3,8.0,2 GTexel/s,0.0,4717,GPU,2002-11-12,150.0,,101.0,36.0,300.0,TSMC,NVIDIA,,,
Fermi GF110 ,1920 x 1080,,650 MHz,2.0,Yes,DX 12.0,0.0,1.0,No,768KB,Nvidia,250 Watts,6144 MB ,177.6GB/sec,384 Bit ,925 MHz,GDDR5,tesla m2090,No,4.5,600 Watt & 42 Amps,31 GPixel/s,1x 6-pin + 1x 8-pin ,40nm,48,"
25-Jul-2011 ",,2560x1600,Yes,5.0,56.0,36 GTexel/s,0.0,3403,GPU,2011-07-25,40.0,250.0,520.0,3000.0,651.0,TSMC,NVIDIA,,1332.0,666.1
Kepler GK110 ,2560 x 1600,,706 MHz,0.0,Yes,DX 12.0,,0.0,No,1536KB,Nvidia,245 Watts,12288 MB ,288.4GB/sec,384 Bit ,1502 MHz,GDDR5,tesla k40c,No,4.5,,34 GPixel/s,None ,28nm,48,"
12-Nov-2013 ",,4096x2160,Yes,5.0,240.0,169 GTexel/s,0.0,3492,GPU,2013-10-08,28.0,245.0,561.0,7080.0,745.0,TSMC,NVIDIA,,5046.0,1682.0
Kepler GK104 x2 ,,,"
- ",0.0,Yes,DX 11.1,,0.0,No,0KB,Nvidia,300 Watts,8192 MB ,320GB/sec,512 Bit ,1250 MHz,GDDR5,tesla k10,No,4.2,650 Watt,,None ,28nm,,"
15-May-2012 ",,4096x2160,No,5.0,,,0.0,3421,GPU,2012-05-01,28.0,225.0,294.0,3540.0,745.0,TSMC,NVIDIA,,2289.0,95.36
Kepler GK110 ,,,732 MHz,0.0,Yes,DX 12.0,,0.0,No,1536KB,Nvidia,235 Watts,6144 MB ,249.6GB/sec,384 Bit ,1300 MHz,GDDR5,tesla k20x,No,4.5,,,None ,28nm,,"
12-Nov-2012 ",,4096x2160,Yes,5.0,,,0.0,3302,GPU,2012-11-12,28.0,235.0,561.0,7080.0,732.0,TSMC,NVIDIA,,3935.0,1312.0
Fermi GF100 ,,,575 MHz,1.0,Yes,DX 12.0,,0.0,No,768KB,Nvidia,238 Watts,6144 MB ,144GB/sec,384 Bit ,750 MHz,GDDR5,tesla c2070,No,4.5,750 Watt,,None ,40nm,,"
01-Sep-2010 ",,2560x1600,No,5.0,,,0.0,2683,GPU,2011-07-25,40.0,238.0,529.0,3100.0,574.0,TSMC,NVIDIA,,1028.0,513.9
Fermi GF100 ,,,575 MHz,1.0,Yes,DX 12.0,,0.0,No,768KB,Nvidia,247 Watts,6144 MB ,144GB/sec,384 Bit ,750 MHz,GDDR5,tesla c2075,No,4.5,750 Watt,,None ,40nm,,"
01-Jul-2011 ",,2560x1600,No,5.0,,,0.0,3907,GPU,2011-07-25,40.0,247.0,520.0,3000.0,574.0,TSMC,NVIDIA,,1028.0,513.9
NV25 A2 ,,,"
- ",2.0,Yes,DX 8.1,,0.0,No,0KB,Nvidia,,128 MB ,3.6GB/sec,128 Bit ,225 MHz,DDR,quadro4 750 xgl,No,1.5,,1 GPixel/s,None ,150nm,4,"
19-Feb-2002 ",,,No,1.3,8.0,2 GTexel/s,0.0,3011,GPU,2002-02-19,150.0,,142.0,63.0,275.0,TSMC,NVIDIA,,,
NV28GL A2 ,,,"
- ",2.0,Yes,DX 8.1,,0.0,No,0KB,Nvidia,,128 MB ,5.2GB/sec,128 Bit ,325 MHz,DDR,quadro4 900 xgl,No,1.5,,1 GPixel/s,None ,150nm,4,"
01-Nov-2002 ",,,No,1.3,8.0,2 GTexel/s,0.0,2225,GPU,2002-02-19,150.0,,142.0,63.0,300.0,TSMC,NVIDIA,,,
Fermi GF100 ,,,575 MHz,1.0,Yes,DX 12.0,,0.0,No,768KB,Nvidia,238 Watts,3072 MB ,144GB/sec,384 Bit ,750 MHz,GDDR5,tesla c2050,No,4.5,750 Watt,,None ,40nm,,"
01-May-2010 ",,2560x1600,No,5.0,,,0.0,2900,GPU,2011-07-25,40.0,238.0,529.0,3100.0,574.0,TSMC,NVIDIA,,1028.0,513.9
NV18 A4 ,,,"
- ",2.0,Yes,DX 8.1,,0.0,No,0KB,Nvidia,,64 MB ,3.2GB/sec,128 Bit ,200 MHz,DDR,quadro4 580 xgl,No,1.5,,1 GPixel/s,None ,150nm,4,"
01-Nov-2002 ",,,No,1.3,4.0,1 GTexel/s,0.0,3663,GPU,2002-11-12,150.0,,65.0,29.0,300.0,TSMC,NVIDIA,,,
NV17 A3 ,,,"
- ",2.0,Yes,DX 8.1,,0.0,No,0KB,Nvidia,,64 MB ,3.2GB/sec,128 Bit ,200 MHz,DDR,quadro4 550 xgl,No,1.5,,1 GPixel/s,None ,150nm,4,"
19-Feb-2002 ",,,No,1.3,4.0,1 GTexel/s,0.0,2403,GPU,2002-02-19,150.0,,65.0,29.0,270.0,TSMC,NVIDIA,,,
NV18 A4 ,,,"
- ",2.0,Yes,DX 8.1,,0.0,No,0KB,Nvidia,,128 MB ,4.1GB/sec,128 Bit ,256 MHz,DDR,quadro4 380 xgl,No,1.5,,1 GPixel/s,None ,150nm,4,"
19-Feb-2002 ",,,No,1.3,4.0,1 GTexel/s,0.0,4835,GPU,2002-11-12,150.0,,65.0,29.0,275.0,TSMC,NVIDIA,,,
NV25 A2 ,,,"
- ",2.0,Yes,DX 8.1,,0.0,No,0KB,Nvidia,,64 MB ,3.6GB/sec,128 Bit ,225 MHz,DDR,quadro4 700 xgl,No,1.5,,1 GPixel/s,None ,150nm,4,"
19-Feb-2002 ",,,No,1.3,8.0,2 GTexel/s,0.0,4575,GPU,2002-02-19,150.0,,142.0,63.0,275.0,TSMC,NVIDIA,,,
NV17 A3 ,,,"
- ",2.0,Yes,DX 8.1,,0.0,No,0KB,Nvidia,,128 MB ,2.7GB/sec,128 Bit ,166 MHz,DDR,quadro4 500 xgl,No,1.5,,1 GPixel/s,None ,150nm,4,"
19-Feb-2002 ",,,No,1.3,4.0,1 GTexel/s,0.0,3277,GPU,2002-02-19,150.0,,65.0,29.0,250.0,TSMC,NVIDIA,,,
Kepler GK110-430-B1 (x2) ,3840 x 2160,876 MHz ,705 MHz,2.0,Yes,DX 12.0,,1.0,No,1536KB(x2),Nvidia,375 Watts,12288 MB ,672GB/sec,384 Bit ,1750 MHz,GDDR5,geforce gtx titan z,No,4.5,700 Watt & 42 Amps,84 GPixel/s,2x 8-pin ,28nm,48 (x2),"
28-May-2014 ",$2999.00,4096x2160,Yes,5.0,240.0,420 GTexel/s,0.0,2219,GPU,2014-05-28,28.0,375.0,561.0,7080.0,705.0,TSMC,NVIDIA,,5046.0,1682.0
Maxwell GM200-400-A1 ,3840 x 2160,1089 MHz ,1000 MHz,1.0,Yes,DX 12.1,,1.0,No,3072KB,Nvidia,250 Watts,12288 MB ,336.6GB/sec,384 Bit ,1753 MHz,GDDR5,geforce gtx titan x,No,4.5,600 Watt & 42 Amps,105 GPixel/s,1x 6-pin + 1x 8-pin ,28nm,96,"
17-Mar-2015 ",$999.00,4096x2160,Yes,5.0,192.0,209 GTexel/s,0.0,2702,GPU,2015-03-17,28.0,250.0,601.0,8000.0,1000.0,TSMC,NVIDIA,,6691.0,209.1
Kepler GK110-400-A1 ,2560 x 1440,876 MHz ,837 MHz,2.0,Yes,DX 12.0,,1.0,No,1536KB,Nvidia,250 Watts,6144 MB ,288.4GB/sec,384 Bit ,1502 MHz,GDDR5,geforce gtx titan,No,4.5,600 Watt & 42 Amps,42 GPixel/s,1x 6-pin + 1x 8-pin ,28nm,48,"
19-Feb-2013 ",$999.00,4096x2160,Yes,5.0,224.0,196 GTexel/s,0.0,3810,GPU,2013-02-19,28.0,250.0,561.0,7080.0,836.0,TSMC,NVIDIA,,4709.0,1570.0
G72GLM ,,,"
- ",,Yes,DX 9,,,No,0KB,Nvidia,45 Watts,1024 MB ,,256 Bit ,,GDDR3,quadro nvs 510m,Yes,2.1,,,,,,"
07-Jan-2010 ",,1600x1200,No,3.0,,,,3850,GPU,2006-08-21,90.0,35.0,196.0,278.0,450.0,TSMC,NVIDIA,,,
G72GLM ,,,"
- ",,Yes,DX 9,,,No,0KB,Nvidia,16 Watts,512 MB ,16GB/sec,128 Bit ,500 MHz,GDDR3,quadro nvs 300m,Yes,3.3,,,,,,"
24-May-2006 ",,1600x1200,No,4.0,,,,3259,GPU,2006-05-24,90.0,16.0,125.0,177.0,500.0,TSMC,NVIDIA,,,
G84M ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,20 Watts,512 MB ,22.4GB/sec,128 Bit ,700 MHz,GDDR3,quadro nvs 320m,Yes,3.3,,,,80nm,,"
09-Jun-2007 ",,1600x1200,No,4.0,,,,4805,GPU,2007-06-09,80.0,20.0,169.0,289.0,575.0,TSMC,NVIDIA,,73.6,
G98M ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,12 Watts,256 MB ,11.2GB/sec,64 Bit ,700 MHz,GDDR3,quadro nvs 160m,Yes,3.3,,,,,,"
15-Aug-2008 ",,1920x1200,No,4.0,,,,2390,GPU,2008-08-15,65.0,12.0,86.0,210.0,580.0,TSMC,NVIDIA,,23.2,
G98M ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,10 Watts,256 MB ,11.2GB/sec,64 Bit ,700 MHz,GDDR3,quadro nvs 150m,Yes,3.3,,,,,,"
15-Aug-2008 ",,1680x1050,No,4.0,,,,4080,GPU,2008-08-15,65.0,10.0,86.0,210.0,530.0,TSMC,NVIDIA,,20.8,
Fermi GF108 ,,,660 MHz,,Yes,DX 12.0,,,No,256KB,Nvidia,35 Watts,2048 MB ,28.8GB/sec,128 Bit ,900 MHz,DDR3,nvs 5400m,Yes,4.5,,,,40nm,,"
01-Jun-2012 ",,2560x1600,No,5.0,,,,3863,GPU,2012-06-01,40.0,35.0,116.0,585.0,660.0,TSMC,NVIDIA,,253.4,21.12
G94 ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,75 Watts,1024 MB ,51.2GB/sec,256 Bit ,800 MHz,GDDR3,geforce 9800m gts,Yes,2.1,,,,,,"
01-Jul-2008 ",,2560x1600,No,4.0,,,,3803,GPU,2008-07-29,65.0,75.0,240.0,505.0,600.0,TSMC,NVIDIA,,192.0,
G94 ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,75 Watts,1024 MB ,51.2GB/sec,256 Bit ,800 MHz,GDDR3,geforce 9800m gts,Yes,2.1,,,,,,"
01-Jul-2008 ",,2560x1600,No,4.0,,,,3833,GPU,2008-08-21,65.0,75.0,240.0,505.0,600.0,TSMC,NVIDIA,,192.0,
G92 ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,75 Watts,1024 MB ,51.2GB/sec,256 Bit ,800 MHz,GDDR3,geforce 9800m gtx,Yes,2.1,,,,65nm,,"
01-Jul-2008 ",,2560x1600,Yes,4.0,,,,4675,GPU,2008-07-15,65.0,75.0,324.0,754.0,500.0,TSMC,NVIDIA,,280.0,
G94 ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,60 Watts,512 MB ,51.2GB/sec,256 Bit ,800 MHz,GDDR3,geforce 9800m gs,Yes,2.1,,,,,,"
02-Jan-2008 ",,2560x1600,No,4.0,,,,3993,GPU,2008-11-01,65.0,60.0,240.0,505.0,530.0,TSMC,NVIDIA,,169.6,
G96 ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,45 Watts,512 MB ,25.6GB/sec,128 Bit ,800 MHz,GDDR3,geforce 9700m gt,Yes,2.1,,,,,,"
01-Jul-2008 ",,2560x1600,No,4.0,,,,2961,GPU,2008-07-29,65.0,45.0,144.0,314.0,625.0,UMC,NVIDIA,,99.2,
G92 ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,65 Watts,512 MB ,51.2GB/sec,256 Bit ,800 MHz,GDDR3,geforce 9800m gt,Yes,2.1,,,,65nm,,"
01-Jul-2008 ",,2560x1600,Yes,4.0,,,,2366,GPU,2008-07-29,65.0,65.0,324.0,754.0,500.0,TSMC,NVIDIA,,240.0,
G84 ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,29 Watts,512 MB ,25.6GB/sec,128 Bit ,800 MHz,GDDR3,geforce 9650m gs,Yes,2.1,,,,80nm,,"
02-Jan-2008 ",,2560x1600,No,4.0,,,,3515,GPU,2008-03-13,80.0,29.0,169.0,289.0,625.0,TSMC,NVIDIA,,80.0,
G94 ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,60 Watts,512 MB ,51.2GB/sec,256 Bit ,800 MHz,GDDR3,geforce 9700m gts,Yes,2.1,,,,,,"
01-Jul-2008 ",,2560x1600,No,4.0,,,,2277,GPU,2008-07-29,65.0,60.0,240.0,505.0,530.0,TSMC,NVIDIA,,127.2,
G96 ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,23 Watts,1024 MB ,25.6GB/sec,128 Bit ,800 MHz,GDDR3,geforce 9600m gt,Yes,2.1,,,,,,"
02-Jan-2008 ",,2560x1600,Yes,4.0,,,,4435,GPU,2008-06-04,55.0,23.0,121.0,314.0,500.0,TSMC,NVIDIA,,80.0,
G96 ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,23 Watts,1024 MB ,25.6GB/sec,128 Bit ,800 MHz,GDDR3,geforce 9650m gt,Yes,2.1,,,,,,"
19-Aug-2008 ",,2560x1600,Yes,4.0,,,,2415,GPU,2008-08-19,55.0,23.0,121.0,314.0,550.0,TSMC,NVIDIA,,84.8,
G84 ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,20 Watts,512 MB ,22.4GB/sec,128 Bit ,700 MHz,GDDR3,geforce 9500m gs,Yes,2.1,,,,80nm,,"
01-Feb-2008 ",,2560x1600,No,4.0,,,,3014,GPU,2008-02-01,80.0,20.0,169.0,289.0,475.0,TSMC,NVIDIA,,60.8,
G96 ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,20 Watts,1024 MB ,25.6GB/sec,128 Bit ,800 MHz,GDDR3,geforce 9600m gs,Yes,2.1,,,,,,"
03-Jun-2008 ",,2560x1600,No,4.0,,,,4120,GPU,2008-06-03,55.0,20.0,121.0,314.0,430.0,TSMC,NVIDIA,,68.8,
G96 ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,20 Watts,1024 MB ,25.6GB/sec,128 Bit ,800 MHz,GDDR3,geforce 9500m g,Yes,2.1,,,,,,"
03-Jun-2008 ",,2560x1600,Yes,4.0,,,,2893,GPU,2008-06-03,65.0,20.0,144.0,314.0,500.0,UMC,NVIDIA,,40.0,
G98 ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,13 Watts,256 MB ,11.2GB/sec,64 Bit ,700 MHz,GDDR3,geforce 9300m gs,Yes,2.1,,,,,,"
02-Jan-2008 ",,2560x1600,Yes,4.0,,,,3465,GPU,2008-06-04,65.0,13.0,86.0,210.0,550.0,TSMC,NVIDIA,,22.4,
G86 ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,13 Watts,256 MB ,9.6GB/sec,64 Bit ,600 MHz,GDDR3,geforce 9300m g,Yes,2.1,,,,80nm,,"
02-Jan-2008 ",,2560x1600,No,4.0,,,,4024,GPU,2008-02-01,80.0,13.0,127.0,210.0,400.0,TSMC,NVIDIA,,25.6,
,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,12 Watts,256 MB ,,,,,geforce 9400m,Yes,3.3,,,,,,"
01-Oct-2008 ",,2560x1600,No,4.0,,,,2432,GPU,2008-10-15,65.0,12.0,144.0,314.0,450.0,Unknown,NVIDIA,,35.2,
,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,12 Watts,256 MB ,,,,,geforce 9400m,Yes,3.3,,,,,,"
01-Oct-2008 ",,2560x1600,No,4.0,,,,4816,GPU,2008-10-15,65.0,12.0,144.0,314.0,580.0,Unknown,NVIDIA,,44.8,
G98 ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,13 Watts,256 MB ,11.2GB/sec,64 Bit ,700 MHz,DDR3,geforce 9200m gs,Yes,2.1,,,,,,"
03-Jun-2008 ",,2560x1600,No,4.0,,,,4341,GPU,2008-06-03,65.0,13.0,86.0,210.0,550.0,TSMC,NVIDIA,,22.4,
MCP79MX ,,,"
- ",,No,DX 10,,,Yes,0KB,Nvidia,12 Watts,,,128 Bit ,,,geforce 9400m g,Yes,3.3,,,,,,"
01-Oct-2008 ",,2560x1600,Yes,4.0,,,,2847,GPU,2008-10-15,65.0,12.0,144.0,314.0,450.0,Unknown,NVIDIA,,35.2,
GT216M ,,,"
- ",,Yes,DX 10.1,,,No,0KB,Nvidia,35 Watts,1024 MB ,25.3GB/sec,128 Bit ,790 MHz,GDDR3,quadro fx 880m,Yes,3.2,,,,40nm,,"
07-Jan-2010 ",,,No,4.0,,,,3060,GPU,2010-01-07,40.0,35.0,100.0,486.0,550.0,TSMC,NVIDIA,,116.2,
NB9P-GLM2 ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,35 Watts,512 MB ,25.6GB/sec,128 Bit ,800 MHz,GDDR3,quadro fx 770m,Yes,2.1,,,,,,"
14-Aug-2008 ",,2560x1600,No,4.0,,,,4459,GPU,2008-08-14,65.0,35.0,144.0,314.0,500.0,UMC,NVIDIA,,80.0,
NV28M ,,,"
- ",,Yes,DX 8.1,,,No,0KB,Nvidia,,128 MB ,3.2GB/sec,128 Bit ,200 MHz,DDR,geforce4 go 4200,Yes,1.3,,,,,,"
14-Nov-2002 ",,,No,1.1,,,,3784,GPU,2002-11-14,150.0,,101.0,36.0,200.0,TSMC,NVIDIA,,,
G92M ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,75 Watts,1024 MB ,51.2GB/sec,256 Bit ,800 MHz,GDDR3,quadro fx 3700m,Yes,2.1,,,,65nm,,"
14-Aug-2008 ",,2560x1600,No,4.0,,,,4709,GPU,2008-08-14,65.0,75.0,324.0,754.0,550.0,TSMC,NVIDIA,,352.0,
G84M ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,45 Watts,512 MB ,22.4GB/sec,128 Bit ,700 MHz,GDDR3,quadro fx 570m,Yes,2.1,,,,80nm,,"
01-Jun-2007 ",,2560x1600,No,4.0,,,,2455,GPU,2007-06-01,80.0,45.0,169.0,289.0,475.0,TSMC,NVIDIA,,60.8,
GT218M ,,,"
- ",,Yes,DX 10.1,,,No,0KB,Nvidia,25 Watts,512 MB ,12.8GB/sec,64 Bit ,800 MHz,GDDR3,quadro fx 380m,Yes,3.2,,,,40nm,,"
07-Jan-2010 ",,2560x1600,No,4.0,,,,4129,GPU,2010-01-07,40.0,25.0,57.0,260.0,606.0,TSMC,NVIDIA,,46.98,
G92M ,,,"
- ",,,DX 10,,,,0KB,Nvidia,100 Watts,,64GB/sec,256 Bit ,1000 MHz,GDDR3,quadro fx 3800m,Yes,3.2,,,,65nm,,"
22-Dec-2009 ",,2560x1600,No,4.0,,,,2398,GPU,2008-08-14,65.0,100.0,324.0,754.0,675.0,TSMC,NVIDIA,,422.4,
G86M ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,17 Watts,256 MB ,9.6GB/sec,64 Bit ,600 MHz,GDDR3,quadro fx 360m,Yes,2.1,,,,80nm,,"
09-May-2007 ",,2560x1600,No,4.0,,,,4411,GPU,2007-05-09,80.0,17.0,127.0,210.0,400.0,TSMC,NVIDIA,,25.6,
G92M ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,70 Watts,1024 MB ,51.2GB/sec,256 Bit ,800 MHz,GDDR3,quadro fx 3600m,Yes,2.1,,,,65nm,,"
23-Feb-2008 ",,2560x1600,No,4.0,,,,4117,GPU,2008-02-23,65.0,70.0,324.0,754.0,500.0,TSMC,NVIDIA,,160.0,
G92M ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,70 Watts,1024 MB ,51.2GB/sec,256 Bit ,800 MHz,GDDR3,quadro fx 3600m,Yes,2.1,,,,65nm,,"
23-Feb-2008 ",,2560x1600,No,4.0,,,,4598,GPU,2008-02-23,65.0,70.0,324.0,754.0,500.0,TSMC,NVIDIA,,240.0,
G92M ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,75 Watts,1024 MB ,64GB/sec,256 Bit ,1000 MHz,GDDR3,quadro fx 2800m,Yes,3.2,,,,65nm,,"
01-Dec-2009 ",,2560x1600,No,4.0,,,,3952,GPU,2009-12-01,65.0,75.0,324.0,754.0,600.0,TSMC,NVIDIA,,288.0,
G72GLM ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,15 Watts,256 MB ,5.6GB/sec,64 Bit ,350 MHz,DDR3,quadro fx 350m,Yes,2.1,,,,,,"
31-Mar-2006 ",,2560x1600,No,4.0,,,,2678,GPU,2006-03-13,90.0,15.0,81.0,112.0,450.0,TSMC,NVIDIA,,,
G71GLM ,,,"
- ",,Yes,DX 10,,,No,0KB,Nvidia,45 Watts,512 MB ,44.8GB/sec,256 Bit ,700 MHz,GDDR3,quadro fx 3500m,Yes,2.1,,,,,,"
01-Mar-2007 ",,2560x1600,No,4.0,,,,3239,GPU,2007-03-01,90.0,45.0,196.0,278.0,575.0,TSMC,NVIDIA,,,
G71GLM ,,,"
- ",,Yes,DX 9.0c,,,No,0KB,Nvidia,45 Watts,1024 MB ,38.4GB/sec,256 Bit ,600 MHz,GDDR3,quadro fx 2500m,Yes,2.1,,,,,,"
29-Sep-2005 ",,2560x1600,No,4.0,,,,3655,GPU,2005-09-29,90.0,45.0,196.0,278.0,500.0,TSMC,NVIDIA,,,
