GPUname,GPUname
GeForce GTS 150,Intel Xeon E3-1275
Radeon HD 2900 XT 512MB,Matrox Parhelia 128 MB
Radeon HD 2900 Pro,NVIDIA GeForce MX150 GP107
Radeon HD 2600 XT Diamond Edition,Intel GMA 500
Radeon HD 2600 XT,ATI Radeon HD 4350 AGP
Radeon HD 2600 XT 256MB GDDR4,NVIDIA GeForce 7100 GS
Radeon HD 4890 Sapphire Vapor-X OC 2GB Edition,ATI Radeon X700 AGP
Radeon HD 2900 GT,NVIDIA GeForce 6800 XT
FirePro D300,ATI Radeon HD 2900 PRO
Radeon 7000 64mb,NVIDIA ION
Quadro4 980 XGL,Intel UHD Graphics 630
Tesla M2090,AMD Wii U GPU
Tesla K20,AMD Radeon RX 6800
Tesla K40c,Intel HD Graphics
All-in-Wonder Radeon 7500,NVIDIA GeForce GTX 760 OEM
Radeon R7 250 v2 MSI OC 2GB + Radeon R7 7870K Dual,Intel Iris Graphics 540
Tesla K10,NVIDIA GeForce GT 445M
Tesla K20X,AMD Radeon HD 8400 IGP
Iris i3 6167U,ATI Radeon E4690 MXM
Radeon 9800 XT,NVIDIA Tesla V100 SXM2 32 GB
Tesla C2070,NVIDIA Tesla C870
Tesla C2075,NVIDIA GeForce GTX 470
Quadro4 750 XGL,NVIDIA GeForce GT 735M
Quadro4 900 XGL,NVIDIA GeForce Go 6200
Iris i5 6360U,NVIDIA GRID K140Q
Quadro4 780 XGL,AMD Radeon R7 Mobile Graphics
Tesla C2050,ATI Xbox 360 GPU 80nm
Iris i5 6267U,NVIDIA GeForce GTX TITAN Z
Iris i5 6260U,NVIDIA GeForce4 MX 4000 PCI
Iris i5 4258U,NVIDIA Jetson Nano GPU
Quadro4 580 XGL,Intel HD Graphics 3000
Iris i5 5350H,AMD Radeon RX 560 XT
Quadro4 550 XGL,Intel UHD Graphics
Quadro4 380 XGL,NVIDIA Quadro4 900 XGL
Quadro4 700 XGL,ATI Mobility Radeon 9600 PRO
Iris i5 6287U,NVIDIA GeForce GTX 860M OEM
Iris i7 6650U,AMD Radeon HD 7350 OEM
Quadro4 500 XGL,NVIDIA GeForce GTX 970M
Iris i7 6567U,ATI All-In-Wonder 9500
Iris i7 6560U,NVIDIA P102-101
Iris i7 5950HQ,AMD Radeon R7 M445
Iris i7 5850EQ,NVIDIA GRID M3-3020
Titan X Pascal 2016,ATI Radeon X800 GTO
Iris i7 5850HQ,NVIDIA GeForce 305M
Iris i7 5750HQ,ATI Mobility Radeon HD 3870 X2
GeForce Titan XP,3dfx Spectre 1000
GeForce GTX Titan Zotac Edition,Intel HD Graphics 5300
GeForce GTX Titan Z Palit 12GB Edition,Matrox QID LP PCIe
GeForce GTX Titan Z EVGA Superclocked 12GB Edition,NVIDIA GeForce GTX 660 OEM
GeForce GTX Titan Z,NVIDIA GeForce GTX 460 SE
GeForce GTX Titan Z EVGA Hydro Copper 12GB Edition,AMD Radeon R5 M255
GeForce GTX Titan X EVGA Hybrid 12GB Edition,ATI Radeon X1600 PRO AGP
GeForce GTX Titan X EVGA Superclocked 12GB Edition SLI,NVIDIA GeForce Go 7900 GS
GeForce GTX Titan Zotac AMP! Edition,ATI Radeon 7000
GeForce GTX Titan X SLI,AMD Radeon HD 7450A
GeForce GTX Titan X,NVIDIA GeForce 9800 GT Rebrand
GeForce GTX Titan X EVGA Superclocked 12GB Edition,NVIDIA GeForce4 MX 4000
GeForce GTX Titan WindForce 3X OC Edition,NVIDIA GeForce 8800 GTS 320
GeForce GTX Titan SLI,NVIDIA Tegra 2 GPU
GeForce GTX Titan P 12GB [not released],NVIDIA GeForce GT 540M
GeForce GTX Titan Inno3D Edition,NVIDIA Tesla V100S PCIe 32 GB
GeForce GTX Titan P 16GB [not released],NVIDIA GeForce MX450 25W
GeForce GTX Titan Gigabyte Edition,NVIDIA GeForce GTX 470 PhysX Edition
GeForce GTX Titan iChill Accelero Hybrid Edition,AMD Radeon Pro Vega II
GeForce GTX Titan Asus Edition,NVIDIA GeForce 6800
GeForce GTX Titan Black Edition,NVIDIA Tesla P40
Radeon HD 8670D + 6670 Dual,AMD Radeon E8870
GeForce GTX Titan EVGA Edition,NVIDIA GeForce MX150
GeForce GTX Titan,ATI All-In-Wonder 9800 PRO
Radeon HD 7660D + 6670 Dual,NVIDIA Quadro FX 1400
Radeon HD 7560D + 7670 Dual,ATI Radeon HD 2950 XTX
Radeon HD 7560D + 6570 Dual,AMD Radeon Pro 5300
Radeon HD 7660D + 7670 Dual,ATI Radeon HD 2600 PRO
Radeon 8500 Series 64MB,NVIDIA A10 PCIe
Radeon 9800 Pro,ATI Radeon DDR VIVO SE
Radeon 9600 PRO PC/Mac Edition,NVIDIA GeForce GTX 470 X2
Radeon 9550,NVIDIA Quadro 2000
Radeon 9600 PRO,NVIDIA GRID K560Q
Radeon 9500 Pro,3dfx Spectre 2000
Radeon 9500,NVIDIA GeForce GTS 250
Radeon 9600 Series,ATI Radeon X850 XT
Radeon 9250,NVIDIA Quadro 4000M
Radeon 9200 Series,NVIDIA GRID M60-8Q
Radeon 9100,NVIDIA GeForce4 MX 440-8x
FireGL V7700,NVIDIA Quadro P3200 Mobile
FireGL V7350,NVIDIA GeForce 9700M GTS
FireGL V7100,ATI All-In-Wonder 9200 SE
Radeon 9000 Series 64MB,NVIDIA GeForce PCX 4300
FireGL V8600,ATI Mobility Radeon HD 2600 XT
FireGL V5600,NVIDIA GeForce GTX 760M
FireGL V7200,ATI Mobility Radeon HD 5450
FireGL V7600,NVIDIA GeForce 6600 GT AGP
FireGL Z1,AMD Radeon HD 8790M
FireGL V5100,NVIDIA GeForce GT 120 OEM
FireGL V3600,AMD Radeon R7 340 OEM
FireGL V3350,ATI Radeon X1950 PRO
