,Unnamed: 0,GPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
2194,2194,NVIDIA GeForce MX150 GP107,GPU,2019-02-23,14.0,25.0,132.0,3300.0,1469.0,Samsung,NVIDIA,18.38,1177.0,36.77
2197,2197,NVIDIA GeForce 7100 GS,GPU,2006-08-08,110.0,,110.0,75.0,350.0,TSMC,NVIDIA,,,
2199,2199,NVIDIA GeForce 6800 XT,GPU,2005-09-30,130.0,,225.0,222.0,425.0,TSMC,NVIDIA,,,
2201,2201,NVIDIA ION,GPU,2008-06-03,65.0,20.0,144.0,314.0,450.0,Unknown,NVIDIA,,35.2,
2206,2206,NVIDIA GeForce GTX 760 OEM,GPU,2013-06-27,28.0,130.0,294.0,3540.0,823.0,TSMC,NVIDIA,,2046.0,85.25
2208,2208,NVIDIA GeForce GT 445M,GPU,2010-09-03,40.0,35.0,238.0,1170.0,570.0,TSMC,NVIDIA,,328.3,27.36
2211,2211,NVIDIA Tesla V100 SXM2 32 GB,GPU,2018-03-27,12.0,250.0,815.0,21100.0,1290.0,TSMC,NVIDIA,31330.0,15670.0,7834.0
2212,2212,NVIDIA Tesla C870,GPU,2007-05-02,90.0,171.0,484.0,681.0,600.0,TSMC,NVIDIA,,345.6,
2213,2213,NVIDIA GeForce GTX 470,GPU,2010-03-26,40.0,215.0,529.0,3100.0,608.0,TSMC,NVIDIA,,1089.0,136.1
2214,2214,NVIDIA GeForce GT 735M,GPU,2013-04-01,28.0,33.0,87.0,1020.0,575.0,TSMC,NVIDIA,,441.6,18.4
2215,2215,NVIDIA GeForce Go 6200,GPU,2006-02-01,110.0,16.0,110.0,75.0,300.0,TSMC,NVIDIA,,,
2216,2216,NVIDIA GRID K140Q,GPU,2013-06-28,28.0,130.0,118.0,1270.0,850.0,TSMC,NVIDIA,,326.4,13.6
2219,2219,NVIDIA GeForce GTX TITAN Z,GPU,2014-05-28,28.0,375.0,561.0,7080.0,705.0,TSMC,NVIDIA,,5046.0,1682.0
2220,2220,NVIDIA GeForce4 MX 4000 PCI,GPU,2003-12-14,150.0,,65.0,29.0,250.0,TSMC,NVIDIA,,,
2221,2221,NVIDIA Jetson Nano GPU,GPU,NaT,20.0,10.0,118.0,2000.0,640.0,TSMC,NVIDIA,471.6,235.8,7.368
2225,2225,NVIDIA Quadro4 900 XGL,GPU,2002-02-19,150.0,,142.0,63.0,300.0,TSMC,NVIDIA,,,
2227,2227,NVIDIA GeForce GTX 860M OEM,GPU,2015-02-05,28.0,75.0,148.0,1870.0,1020.0,TSMC,NVIDIA,,1389.0,43.4
2229,2229,NVIDIA GeForce GTX 970M,GPU,2014-10-07,28.0,,398.0,5200.0,924.0,TSMC,NVIDIA,,2657.0,83.04
2231,2231,NVIDIA P102-101,GPU,2018-01-01,16.0,250.0,471.0,11800.0,1557.0,TSMC,NVIDIA,167.0,10690.0,334.0
2233,2233,NVIDIA GRID M3-3020,GPU,2016-05-18,28.0,,148.0,1870.0,1033.0,TSMC,NVIDIA,,1672.0,52.24
2235,2235,NVIDIA GeForce 305M,GPU,2010-01-10,40.0,14.0,57.0,260.0,525.0,TSMC,NVIDIA,,36.8,
2240,2240,NVIDIA GeForce GTX 660 OEM,GPU,2012-08-22,28.0,130.0,294.0,3540.0,823.0,TSMC,NVIDIA,,2046.0,85.25
2241,2241,NVIDIA GeForce GTX 460 SE,GPU,2010-11-15,40.0,150.0,332.0,1950.0,650.0,TSMC,NVIDIA,,748.8,62.4
2244,2244,NVIDIA GeForce Go 7900 GS,GPU,2006-04-18,90.0,20.0,196.0,278.0,375.0,TSMC,NVIDIA,,,
2247,2247,NVIDIA GeForce 9800 GT Rebrand,GPU,2008-07-21,65.0,125.0,324.0,754.0,725.0,TSMC,NVIDIA,,448.0,
2248,2248,NVIDIA GeForce4 MX 4000,GPU,2003-12-14,150.0,,65.0,29.0,250.0,TSMC,NVIDIA,,,
2249,2249,NVIDIA GeForce 8800 GTS 320,GPU,2007-02-12,90.0,143.0,484.0,681.0,513.0,TSMC,NVIDIA,,228.1,
2250,2250,NVIDIA Tegra 2 GPU,GPU,2010-06-03,40.0,20.0,,,300.0,TSMC,NVIDIA,,,
2251,2251,NVIDIA GeForce GT 540M,GPU,2011-01-05,40.0,35.0,116.0,585.0,672.0,TSMC,NVIDIA,,258.0,21.5
2252,2252,NVIDIA Tesla V100S PCIe 32 GB,GPU,2019-11-26,12.0,250.0,815.0,21100.0,1245.0,TSMC,NVIDIA,32710.0,16350.000000000002,8177.0
2253,2253,NVIDIA GeForce MX450 25W,GPU,2020-08-15,12.0,25.0,200.0,4700.0,720.0,TSMC,NVIDIA,3333.0,1667.0,52.08
2254,2254,NVIDIA GeForce GTX 470 PhysX Edition,GPU,NaT,,215.0,529.0,3100.0,608.0,TSMC,NVIDIA,,1089.0,
2256,2256,NVIDIA GeForce 6800,GPU,2004-04-14,110.0,,287.0,222.0,325.0,TSMC,NVIDIA,,,
2257,2257,NVIDIA Tesla P40,GPU,2016-09-13,16.0,250.0,471.0,11800.0,1303.0,TSMC,NVIDIA,183.7,11760.0,367.4
2259,2259,NVIDIA GeForce MX150,GPU,2017-05-17,14.0,25.0,74.0,1800.0,1469.0,Samsung,NVIDIA,18.38,1177.0,36.77
2261,2261,NVIDIA Quadro FX 1400,GPU,2004-08-09,130.0,55.0,225.0,222.0,350.0,TSMC,NVIDIA,,,
2265,2265,NVIDIA A10 PCIe,GPU,2021-04-12,8.0,150.0,628.0,28300.0,885.0,Samsung,NVIDIA,31240.0,31240.0,976.3
2267,2267,NVIDIA GeForce GTX 470 X2,GPU,NaT,40.0,215.0,529.0,3100.0,608.0,TSMC,NVIDIA,,855.4,
2268,2268,NVIDIA Quadro 2000,GPU,2010-12-24,40.0,62.0,238.0,1170.0,625.0,TSMC,NVIDIA,,480.0,40.0
2269,2269,NVIDIA GRID K560Q,GPU,2014-07-02,28.0,225.0,294.0,3540.0,745.0,TSMC,NVIDIA,,2289.0,95.36
2271,2271,NVIDIA GeForce GTS 250,GPU,2009-03-04,55.0,150.0,260.0,754.0,675.0,TSMC,NVIDIA,,414.7,
2273,2273,NVIDIA Quadro 4000M,GPU,2011-02-22,40.0,100.0,332.0,1950.0,475.0,TSMC,NVIDIA,,638.4,53.2
2274,2274,NVIDIA GRID M60-8Q,GPU,2015-08-30,28.0,225.0,398.0,5200.0,557.0,TSMC,NVIDIA,,4825.0,150.8
2275,2275,NVIDIA GeForce4 MX 440-8x,GPU,2002-09-25,150.0,,65.0,29.0,275.0,TSMC,NVIDIA,,,
2276,2276,NVIDIA Quadro P3200 Mobile,GPU,2018-02-21,16.0,75.0,314.0,7200.0,1328.0,TSMC,NVIDIA,86.41,5530.0,172.8
2277,2277,NVIDIA GeForce 9700M GTS,GPU,2008-07-29,65.0,60.0,240.0,505.0,530.0,TSMC,NVIDIA,,127.2,
2279,2279,NVIDIA GeForce PCX 4300,GPU,2004-02-19,150.0,,65.0,29.0,250.0,TSMC,NVIDIA,,,
2281,2281,NVIDIA GeForce GTX 760M,GPU,2013-05-30,28.0,55.0,221.0,2540.0,628.0,TSMC,NVIDIA,,1009.0,42.05
2283,2283,NVIDIA GeForce 6600 GT AGP,GPU,2004-11-14,110.0,47.0,154.0,146.0,500.0,TSMC,NVIDIA,,,
2285,2285,NVIDIA GeForce GT 120 OEM,GPU,2009-03-10,55.0,50.0,121.0,314.0,738.0,TSMC,NVIDIA,,117.5,
2292,2292,NVIDIA GeForce GT 630M,GPU,2012-03-22,40.0,33.0,116.0,585.0,660.0,TSMC,NVIDIA,,253.4,21.12
2295,2295,NVIDIA Quadro FX 1500M,GPU,2006-04-18,90.0,45.0,196.0,278.0,375.0,TSMC,NVIDIA,,,
2296,2296,NVIDIA GeForce 9200,GPU,2007-04-17,80.0,40.0,127.0,210.0,500.0,Unknown,NVIDIA,,38.4,
2297,2297,NVIDIA Quadro FX 4600 SDI,GPU,2007-03-05,90.0,154.0,484.0,681.0,500.0,TSMC,NVIDIA,,230.4,
2298,2298,NVIDIA Quadro T1000 Mobile,GPU,2019-05-27,12.0,50.0,200.0,4700.0,1395.0,TSMC,NVIDIA,5215.0,2607.0,81.48
2299,2299,NVIDIA Playstation 3 GPU 90nm,GPU,2006-11-11,90.0,80.0,258.0,300.0,550.0,Sony,NVIDIA,,,
2303,2303,NVIDIA Tesla K40s,GPU,2013-11-22,28.0,245.0,561.0,7080.0,745.0,TSMC,NVIDIA,,5046.0,1682.0
2304,2304,NVIDIA GeForce GTX 1050 Ti Mobile,GPU,2017-02-01,16.0,75.0,200.0,4400.0,1493.0,TSMC,NVIDIA,38.88,2488.0,77.76
2307,2307,NVIDIA Quadro2 MXR Low Profile,GPU,2000-07-25,180.0,,64.0,20.0,200.0,TSMC,NVIDIA,,,
2310,2310,NVIDIA Quadro RTX 4000 Max-Q,GPU,2019-05-27,12.0,80.0,545.0,13600.0,780.0,TSMC,NVIDIA,14130.0,7066.0,220.8
2311,2311,NVIDIA GeForce4 MX 440-SE,GPU,2002-02-06,150.0,,65.0,29.0,250.0,TSMC,NVIDIA,,,
2312,2312,NVIDIA GeForce 9600 GSO,GPU,2008-04-28,65.0,84.0,324.0,754.0,550.0,TSMC,NVIDIA,,264.0,
2313,2313,NVIDIA GeForce4 Ti 4800,GPU,2003-03-15,150.0,,101.0,36.0,300.0,TSMC,NVIDIA,,,
2314,2314,NVIDIA GeForce GTX 560 SE,GPU,2012-02-20,40.0,150.0,332.0,1950.0,736.0,TSMC,NVIDIA,,847.9,70.66
2315,2315,NVIDIA Quadro FX Go1000,GPU,2004-02-25,130.0,,133.0,82.0,295.0,TSMC,NVIDIA,,,
2318,2318,NVIDIA GeForce FX 5500,GPU,2004-03-17,150.0,,91.0,45.0,270.0,TSMC,NVIDIA,,,
2319,2319,NVIDIA GeForce GT 1030 GK107,GPU,2018-09-30,28.0,65.0,118.0,1270.0,1058.0,TSMC,NVIDIA,,812.5,33.86
2323,2323,NVIDIA Quadro RTX 3000 Max-Q,GPU,2019-05-27,12.0,60.0,445.0,10800.0,600.0,TSMC,NVIDIA,9331.0,4666.0,145.8
2325,2325,NVIDIA GeForce GTX 1060 6 GB GDDR5X,GPU,2018-10-18,16.0,120.0,314.0,7200.0,1506.0,TSMC,NVIDIA,68.36,4375.0,136.7
2327,2327,NVIDIA GeForce GTX 950M Mac Edition,GPU,2015-03-13,28.0,75.0,148.0,1870.0,993.0,TSMC,NVIDIA,,1439.0,44.96
2329,2329,NVIDIA GeForce GT 740M,GPU,2013-04-01,28.0,45.0,118.0,1270.0,810.0,TSMC,NVIDIA,,622.1,25.92
2331,2331,NVIDIA GeForce 6600 VE,GPU,2005-01-01,110.0,,154.0,146.0,300.0,TSMC,NVIDIA,,,
2333,2333,NVIDIA Quadro 4100,GPU,NaT,28.0,35.0,294.0,3540.0,797.0,TSMC,NVIDIA,,2142.0,89.26
2334,2334,NVIDIA GeForce 310M,GPU,2010-01-10,40.0,14.0,57.0,260.0,606.0,TSMC,NVIDIA,,48.96,
2335,2335,NVIDIA Tesla T10 Processor,GPU,2009-04-09,55.0,188.0,470.0,1400.0,610.0,TSMC,NVIDIA,,622.1,77.76
2336,2336,NVIDIA Quadro M520 Mobile,GPU,2017-01-11,28.0,25.0,,,1041.0,TSMC,NVIDIA,,799.5,24.98
2339,2339,NVIDIA GeForce4 Ti 4200-8X,GPU,2002-02-06,150.0,,101.0,36.0,250.0,TSMC,NVIDIA,,,
2340,2340,NVIDIA GeForce 810M,GPU,2014-03-24,28.0,15.0,116.0,585.0,738.0,TSMC,NVIDIA,,141.7,11.81
2342,2342,NVIDIA GeForce RTX 2080 SUPER,GPU,2019-07-23,12.0,250.0,545.0,13600.0,1650.0,TSMC,NVIDIA,22300.0,11150.0,348.5
2346,2346,NVIDIA GeForce 8400 GS,GPU,2007-04-17,80.0,40.0,127.0,210.0,459.0,TSMC,NVIDIA,,29.38,
2357,2357,NVIDIA GeForce 820A,GPU,2014-03-17,28.0,15.0,116.0,585.0,775.0,TSMC,NVIDIA,,297.6,24.8
2359,2359,NVIDIA GeForce RTX 2060 Max-Q,GPU,2020-01-29,12.0,65.0,445.0,10800.0,975.0,TSMC,NVIDIA,9101.0,4550.0,142.2
2363,2363,NVIDIA GeForce MX110,GPU,2017-11-17,28.0,30.0,,,978.0,TSMC,NVIDIA,,772.6,24.14
2364,2364,NVIDIA NVS 510,GPU,2012-10-23,28.0,35.0,118.0,1270.0,797.0,TSMC,NVIDIA,,306.0,12.75
2366,2366,NVIDIA GeForce 9800M GT,GPU,2008-07-29,65.0,65.0,324.0,754.0,500.0,TSMC,NVIDIA,,240.0,
2367,2367,NVIDIA GeForce 7000M + nForce 610M,GPU,2006-02-01,90.0,,81.0,112.0,350.0,Unknown,NVIDIA,,,
2368,2368,NVIDIA Quadro FX 4600,GPU,2007-03-05,90.0,134.0,484.0,681.0,500.0,TSMC,NVIDIA,,230.4,
2369,2369,NVIDIA GeForce 7050 PV + nForce 630a,GPU,2006-02-01,90.0,,81.0,112.0,425.0,Unknown,NVIDIA,,,
2372,2372,NVIDIA GeForce 8800M GTX,GPU,2007-11-01,65.0,65.0,324.0,754.0,500.0,TSMC,NVIDIA,,240.0,
2374,2374,NVIDIA GeForce GT 640M LE,GPU,2012-03-22,28.0,20.0,118.0,1270.0,500.0,TSMC,NVIDIA,,384.0,16.0
2384,2384,NVIDIA Quadro M4000,GPU,2015-06-29,28.0,120.0,398.0,5200.0,773.0,TSMC,NVIDIA,,2573.0,80.39
2385,2385,NVIDIA GeForce GTX 1050 Ti,GPU,2016-10-25,14.0,75.0,132.0,3300.0,1291.0,Samsung,NVIDIA,33.41,2138.0,66.82
2386,2386,NVIDIA GeForce MX350,GPU,2020-02-10,14.0,20.0,132.0,3300.0,747.0,Samsung,NVIDIA,18.74,1199.0,37.48
2387,2387,NVIDIA Quadro4 700 Go GL,GPU,2003-06-05,150.0,,101.0,36.0,199.0,TSMC,NVIDIA,,,
2390,2390,NVIDIA Quadro NVS 160M,GPU,2008-08-15,65.0,12.0,86.0,210.0,580.0,TSMC,NVIDIA,,23.2,
2391,2391,NVIDIA GeForce GTS 150M,GPU,2009-03-03,65.0,45.0,240.0,505.0,400.0,TSMC,NVIDIA,,128.0,
2393,2393,NVIDIA Quadro M5000,GPU,2015-06-29,28.0,150.0,398.0,5200.0,861.0,TSMC,NVIDIA,,4252.0,132.9
2396,2396,NVIDIA GeForce 9200,GPU,2007-04-17,65.0,40.0,144.0,314.0,450.0,Unknown,NVIDIA,,35.2,
2398,2398,NVIDIA Quadro FX 3800M,GPU,2008-08-14,65.0,100.0,324.0,754.0,675.0,TSMC,NVIDIA,,422.4,
2399,2399,NVIDIA Jetson AGX Xavier GPU,GPU,NaT,12.0,30.0,350.0,9000.0,854.0,TSMC,NVIDIA,2820.0,1410.0,705.0
2403,2403,NVIDIA Quadro4 550 XGL,GPU,2002-02-19,150.0,,65.0,29.0,270.0,TSMC,NVIDIA,,,
2404,2404,NVIDIA GeForce 605 OEM,GPU,2012-04-02,40.0,25.0,79.0,292.0,523.0,TSMC,NVIDIA,,100.4,8.368
2410,2410,NVIDIA GeForce GT 710 PCIe x1,GPU,2014-03-27,28.0,19.0,87.0,1020.0,954.0,TSMC,NVIDIA,,366.3,15.26
2411,2411,NVIDIA GeForce GTX 860M,GPU,2014-03-10,28.0,75.0,294.0,3540.0,797.0,TSMC,NVIDIA,,2108.0,87.84
2412,2412,NVIDIA Quadro2 Pro,GPU,2001-03-22,150.0,,88.0,25.0,200.0,TSMC,NVIDIA,,,
