GPUname,GPUname.1
geforce gts 150,intel xeon e3-1275
radeon hd 2900 xt 512mb,matrox parhelia 128 mb
radeon hd 2900 pro,nvidia geforce mx150 gp107
radeon hd 2600 xt diamond edition,intel gma 500
radeon hd 2600 xt,ati radeon hd 4350 agp
radeon hd 2600 xt 256mb gddr4,nvidia geforce 7100 gs
radeon hd 4890 sapphire vapor-x oc 2gb edition,ati radeon x700 agp
radeon hd 2900 gt,nvidia geforce 6800 xt
firepro d300,ati radeon hd 2900 pro
radeon 7000 64mb,nvidia ion
quadro4 980 xgl,intel uhd graphics 630
tesla m2090,amd wii u gpu
tesla k20,amd radeon rx 6800
tesla k40c,intel hd graphics
all-in-wonder radeon 7500,nvidia geforce gtx 760 oem
radeon r7 250 v2 msi oc 2gb + radeon r7 7870k dual,intel iris graphics 540
tesla k10,nvidia geforce gt 445m
tesla k20x,amd radeon hd 8400 igp
iris i3 6167u,ati radeon e4690 mxm
radeon 9800 xt,nvidia tesla v100 sxm2 32 gb
tesla c2070,nvidia tesla c870
tesla c2075,nvidia geforce gtx 470
quadro4 750 xgl,nvidia geforce gt 735m
quadro4 900 xgl,nvidia geforce go 6200
iris i5 6360u,nvidia grid k140q
quadro4 780 xgl,amd radeon r7 mobile graphics
tesla c2050,ati xbox 360 gpu 80nm
iris i5 6267u,nvidia geforce gtx titan z
iris i5 6260u,nvidia geforce4 mx 4000 pci
iris i5 4258u,nvidia jetson nano gpu
quadro4 580 xgl,intel hd graphics 3000
iris i5 5350h,amd radeon rx 560 xt
quadro4 550 xgl,intel uhd graphics
quadro4 380 xgl,nvidia quadro4 900 xgl
quadro4 700 xgl,ati mobility radeon 9600 pro
iris i5 6287u,nvidia geforce gtx 860m oem
iris i7 6650u,amd radeon hd 7350 oem
quadro4 500 xgl,nvidia geforce gtx 970m
iris i7 6567u,ati all-in-wonder 9500
iris i7 6560u,nvidia p102-101
iris i7 5950hq,amd radeon r7 m445
iris i7 5850eq,nvidia grid m3-3020
titan x pascal 2016,ati radeon x800 gto
iris i7 5850hq,nvidia geforce 305m
iris i7 5750hq,ati mobility radeon hd 3870 x2
geforce titan xp,3dfx spectre 1000
geforce gtx titan zotac edition,intel hd graphics 5300
geforce gtx titan z palit 12gb edition,matrox qid lp pcie
geforce gtx titan z evga superclocked 12gb edition,nvidia geforce gtx 660 oem
geforce gtx titan z,nvidia geforce gtx 460 se
geforce gtx titan z evga hydro copper 12gb edition,amd radeon r5 m255
geforce gtx titan x evga hybrid 12gb edition,ati radeon x1600 pro agp
geforce gtx titan x evga superclocked 12gb edition sli,nvidia geforce go 7900 gs
geforce gtx titan zotac amp! edition,ati radeon 7000
geforce gtx titan x sli,amd radeon hd 7450a
geforce gtx titan x,nvidia geforce 9800 gt rebrand
geforce gtx titan x evga superclocked 12gb edition,nvidia geforce4 mx 4000
geforce gtx titan windforce 3x oc edition,nvidia geforce 8800 gts 320
geforce gtx titan sli,nvidia tegra 2 gpu
geforce gtx titan p 12gb [not released],nvidia geforce gt 540m
geforce gtx titan inno3d edition,nvidia tesla v100s pcie 32 gb
geforce gtx titan p 16gb [not released],nvidia geforce mx450 25w
geforce gtx titan gigabyte edition,nvidia geforce gtx 470 physx edition
geforce gtx titan ichill accelero hybrid edition,amd radeon pro vega ii
geforce gtx titan asus edition,nvidia geforce 6800
geforce gtx titan black edition,nvidia tesla p40
radeon hd 8670d + 6670 dual,amd radeon e8870
geforce gtx titan evga edition,nvidia geforce mx150
geforce gtx titan,ati all-in-wonder 9800 pro
radeon hd 7660d + 6670 dual,nvidia quadro fx 1400
radeon hd 7560d + 7670 dual,ati radeon hd 2950 xtx
radeon hd 7560d + 6570 dual,amd radeon pro 5300
radeon hd 7660d + 7670 dual,ati radeon hd 2600 pro
radeon 8500 series 64mb,nvidia a10 pcie
radeon 9800 pro,ati radeon ddr vivo se
radeon 9600 pro pc/mac edition,nvidia geforce gtx 470 x2
radeon 9550,nvidia quadro 2000
radeon 9600 pro,nvidia grid k560q
radeon 9500 pro,3dfx spectre 2000
radeon 9500,nvidia geforce gts 250
radeon 9600 series,ati radeon x850 xt
radeon 9250,nvidia quadro 4000m
radeon 9200 series,nvidia grid m60-8q
radeon 9100,nvidia geforce4 mx 440-8x
firegl v7700,nvidia quadro p3200 mobile
firegl v7350,nvidia geforce 9700m gts
firegl v7100,ati all-in-wonder 9200 se
radeon 9000 series 64mb,nvidia geforce pcx 4300
firegl v8600,ati mobility radeon hd 2600 xt
firegl v5600,nvidia geforce gtx 760m
firegl v7200,ati mobility radeon hd 5450
firegl v7600,nvidia geforce 6600 gt agp
firegl z1,amd radeon hd 8790m
firegl v5100,nvidia geforce gt 120 oem
firegl v3600,amd radeon r7 340 oem
firegl v3350,ati radeon x1950 pro
firegl v3300,intel hd graphics 620
firegl v3400,amd radeon rx 580 oem
firepro w9100,xgi volari duo v5 ultra
firepro w8000,amd radeon 550x mobile
firegl v3100,nvidia geforce gt 630m
firepro w5000,ati mobility radeon 9200
firepro w9000,ati firegl x3-256
firepro v8750,nvidia quadro fx 1500m
firepro w7000,nvidia geforce 9200
firepro v7900,nvidia quadro fx 4600 sdi
firepro w2100,nvidia quadro t1000 mobile
firepro v8700,nvidia playstation 3 gpu 90nm
firepro v7800,3dfx voodoo4-2 4800 agp
firepro v5900,amd radeon rx 570
all-in-wonder 9000 64mb,ati radeon 9700 pro
firepro v5800,nvidia tesla k40s
firepro v5700,nvidia geforce gtx 1050 ti mobile
firepro v3750,amd radeon hd 6310 igp
firegl 8800,ati mobility radeon hd 4570
firepro s9150,nvidia quadro2 mxr low profile
firepro s9050,amd radeon r7 250 oem
firepro v9800,ati radeon x1650 agp
firepro s9000,nvidia quadro rtx 4000 max-q
firepro s7000,nvidia geforce4 mx 440-se
firepro d700,nvidia geforce 9600 gso
firepro d500,nvidia geforce4 ti 4800
firepro v3900,nvidia geforce gtx 560 se
radeon r7 7860k,nvidia quadro fx go1000
firestream 9370,amd radeon r7 240
radeon r7 7700k,sony playstation 2 gpu 180nm
radeon r7 7850k,nvidia geforce fx 5500
radeon r7 7870k,nvidia geforce gt 1030 gk107
radeon r7 7890k,intel hd graphics 520
firepro s10000,amd radeon hd 7510m
firestream 9270,amd radeon r6 mobile graphics
firestream 9350,nvidia quadro rtx 3000 max-q
firestream 9170,ati mobility radeon hd 5850
radeon r7 7800,nvidia geforce gtx 1060 6 gb gddr5x
firestream 9250,intel iris pro graphics 5200
radeon r7 7600,nvidia geforce gtx 950m mac edition
radeon r7 7600p,amd radeon hd 6990
radeon r7 7670k,nvidia geforce gt 740m
radeon r7 7650k,ati radeon x300 se hypermemory
radeon r3 5150,nvidia geforce 6600 ve
radeon hd 8670d,amd radeon r5 a240
radeon r5 7400k,nvidia quadro 4100
radeon r3 5350,nvidia geforce 310m
radeon hd 8650d,nvidia tesla t10 processor
