Product,cpuName
AMD Athlon 64 3500+,AMD Ryzen Threadripper PRO 5995WX
AMD Athlon 200GE,AMD EPYC 7763
Intel Core i5-1145G7,AMD EPYC 7J13
Intel Xeon E5-2603 v2,AMD EPYC 7713
AMD Phenom II X4 980 BE,AMD Ryzen Threadripper PRO 3995WX
Intel Xeon E5-2470 v2,AMD Ryzen Threadripper 3990X
AMD Phenom X4 9750 (125W),AMD Ryzen Threadripper PRO 5975WX
Intel Pentium D 930,AMD EPYC 7B13
Intel Core i3-1125G4,AMD EPYC 7643
AMD Athlon 64 X2 4200+,AMD EPYC 7702
AMD Sempron 2800+,AMD EPYC 7662
Intel Core i7-3632QM,AMD EPYC 7742
AMD C-70,AMD EPYC 75F3
Intel Core i5-8269U,AMD Ryzen Threadripper PRO 5965WX
AMD Phenom X4 9600 BE,AMD EPYC 7642
Intel Pentium 3560Y,AMD EPYC 7543P
AMD Turion X2 Ultra ZM-84,AMD EPYC 7R32
Intel Pentium 4 506,AMD Ryzen Threadripper 3970X
Intel Xeon E5-2430 v2,AMD Ryzen Threadripper PRO 3975WX
AMD Athlon 64 X2 4800+,Intel Xeon Platinum 8380 @ 2.30GHz
Intel Core i5-3427U,AMD EPYC 7702P
AMD Opteron 148 HE,AMD EPYC 74F3
AMD Athlon 1100,AMD EPYC 7513
Intel Core i7-975,AMD EPYC 7443P
AMD Athlon 64 3500+,AMD EPYC 7542
Intel Pentium 4 HT 672,AMD EPYC 7543
Intel Pentium D 830,AMD EPYC 7532
AMD EPYC 7371,AMD Ryzen Threadripper 3960X
Intel Pentium 4 HT 550,Intel Xeon Platinum 8358 @ 2.60GHz
Intel Pentium III 1266S,AMD EPYC 7453
AMD Sempron 140,Intel Xeon Gold 6348 @ 2.60GHz
AMD EPYC 7501,Intel Xeon Platinum 8375C @ 2.90GHz
Intel Atom E680,AMD Ryzen Threadripper PRO 5955WX
Intel Xeon E5-2690 v2,AMD EPYC 7402
Intel Xeon Platinum 8380,Intel Xeon Platinum 8347C @ 2.10GHz
Intel Xeon Phi 7120A,AMD EPYC 7502
Intel Core i3-8020,AMD EPYC 7502P
Intel Atom S1220,Intel Xeon Gold 6342 @ 2.80GHz
AMD Phenom X4 9600,AMD EPYC 7413
Intel Core i3-2330M,AMD Ryzen 9 5950X
AMD Opteron X2 180,AMD EPYC 73F3
AMD E2-3200,AMD EPYC 7343
AMD Turion 64 MT-34,AMD EPYC 7713P
Intel Pentium III  866,Intel Xeon Gold 6336Y @ 2.40GHz
Intel Core 2 Quad Q9550S,Intel Core i9-12900KS
Intel Core i7-4500U,Intel Xeon Gold 6312U @ 2.40GHz
AMD Opteron X2 185,Intel Xeon Gold 6330 @ 2.00GHz
Intel Core i3-8300,AMD EPYC 7601
AMD Ryzen 5 1400,AMD EPYC 7452
AMD A4-3300M,AMD EPYC 7402P
Intel Xeon 3.20,AMD Ryzen Threadripper PRO 5945WX
AMD Opteron 848,Intel Xeon Gold 6354 @ 3.00GHz
Intel Core 2 Extreme QX6700,Apple M1 Ultra 20 Core
Intel Pentium Gold G6405T,Intel Core i9-12900KF
AMD A6-3600,Intel Core i9-12900K
Intel Xeon Phi 7120X,AMD EPYC 7F52
Intel Core i9-10900K,AMD EPYC 7313P
Intel Pentium 2129Y,Intel Xeon Platinum 8275CL @ 3.00GHz
AMD Athlon 64 X2 5600+,Intel Xeon W-3275M @ 2.50GHz
AMD Athlon II X4 640,AMD EPYC 7313
Intel Atom Z515,AMD EPYC 7352
AMD EPYC 7302,AMD Ryzen Threadripper PRO 3955WX
Intel Celeron 3205U,Intel Xeon W-3265M @ 2.70GHz
Intel Core i3-10305T,AMD Ryzen 9 5900X
AMD Ryzen 9 5900HX,AMD Ryzen 9 3950X
AMD EPYC 7502,Intel Xeon W-3335 @ 3.40GHz
AMD Athlon 64 4000+,Intel Xeon Gold 6248R @ 3.00GHz
